,External_ID,contents
808,rec_01_audio_0,কেমন সে ভরসা কি খবর লাকি খবরের অবস্থা খুব খারাপ তোমার সাতমুখে কথা কবার চালকদের তোমরা কি কন রাজি আসার সময়।
21,rec_01_audio_1,কি কতনমকিমনমতঋণে তার বয়স কত জালেবি কি কাম করেন তোমরা সংসদের কিমকিমার।
151,rec_01_audio_10,কি করে ভাল তর অভাবে সংসার জমিকে ভালো হয়ে জামাত ভাল পাবটিকে এলা সুস্থ ঘুম যাকাসপাতালজায়া সাঠিক ব্যবহান ঘুম হয় না।
314,rec_01_audio_11,তাই মাথা ঘরে মাথা ঘরে উটি করে দিনে দিনে থুয়ে বাড়ি তানু এল জাকির এবং ছোট ব্যাটিছোট জামায় বলেছি পাতলা পায়খানা রেজারা কি।
196,rec_01_audio_12,তোরা না কালাম রুচি করিয়ে দেন কলিকালের দেখিতে পাতলা বেলাগাম রুটি খেলে না জেতালেন না কলকতা উপলক্ষে জাইদি।
452,rec_01_audio_13,তারা সিরিয়া করবের বানাদি থেকে পিনটা জানান সিরিয়া করে নিয়ে গেল জামাতা পাকা য়েছে ধানের সুরেখারা আর মহিলা টিকা মেলে।
660,rec_01_audio_14,খ্যাতি নানা কমায় ও কৃষ্টিকে বলে আটিয়া কার হালাকা কলা গুলেনের পুরি গিয়েছে এদিন আগত আসিল লানাই সে কাজগুলি শেষ কলা ধরা শেষ হয়েছে কি করা লাভগুরকেনাআনাগে এলাহি ছোট আরাকি করে।
384,rec_01_audio_15,তাই গৌরব নিয়ে কার পানি দিবেন হাট বেলা পি হাট যাইবে দোকান নিয়ে এলাকার কিসে দোকান করে জান জিতুক রেডিমেট কাফের দোকান জন্যে আরো কনটেনারে না জানে না।
664,rec_01_audio_16,মোরার সৌকর্য হয়েছে এখন চিকিৎসা করবে বলে না টাকা টোল ভাসির কামনা দেন না ভারি আর বলে না কেমন জামার ঘর কন্যা কানে কিছু করি টাকা সে কেসিকিৎসিকরি মিলন করি।
925,rec_01_audio_17,এর পর ব্যক্তিরা তখনকার লতিকা করে এলজি না কে যাকে তালে করেছো এলাকা বিয়ে করে বিয়ে লা খান তোমরা সবাই মিলিয়ে বসুকে তোকে যোগেন ক্যাম্পিনাস তারপর বিয়ে করে খায়।
696,rec_01_audio_18,তবে ছাবির নিশি দেশ না পর বাটিক দিকের নিভিয়ে জামেরির বাড়ি কাশি সোনি বড়জামাই পলিপিটপাতলা পাখনাকে যাবার পাওনা টাকাকে মেলাগুলি।
425,rec_01_audio_19,কাদায় টাকা বিপদ বিপদ তালাক করা ছোট বাটিতে স্কুল কান্দির কানাকানি করার কানা যাওয়া গুলি তাকে কনকনে পাগলি হয়েছে কামাল হিসেবে বারবার পড়িয়েছে।
855,rec_01_audio_2,সংসারে কৃষি কাজ করে তো মাধ্যমে শরিফুল চোখের বলে সমস্যা তার কিকরেছে করে পানেটা সংসারের অবস্থা খারাপ করলে চিকিৎসায় করবে না পায়।
608,rec_01_audio_20,কারি বয়নেরবলেফির মাতা বলে ফিরে অপারেশন কাছে তাইনা স্যাটের দুই মাস তাকে পরিয়ে রাখা ঠেঙিযে বাসে না তার বল একটা আছে তার বরফির মাতা ঘরে বমি করে বিজনের তাকে উটপের না পায় হেল্পলাইনে মুনকারুল।
40,rec_01_audio_21,ভোটে তোমরা ফিফটির কেনা সামিয়ানা মিলি হাসিবের হওয়া করার কিছু আছে দুবেলার কাছে বিয়ে।
661,rec_01_audio_22,এরা বয়েজ অধিক লাকি করে ফেলে দেওয়া দেকে মা কুড়ি খানবালে মাইকে ফাইল এ মাসে কাজ নাইমা এখন ফিরে রেকর্ড নতুন দেখকে বলেননি।
86,rec_01_audio_23,এলাকার রেকর্ড করেছে মেশিনে এর পর আর কিছু আছে জমিটা এখন সারিতে ছাড়িবার ডিকবেলাকে তিন দিয়ে ফিকিরে সমাজ খুলিখানা জমি পিলারটি থানাকে সাকিব করবে।
342,rec_01_audio_24,হামলা কাশে আল্লা এলা কোন পাশে হাঁটার দেখে ডিলিট মন্দমানের খুলিছে ফুরিয়ে তারা ডিককুলে বাজিনে টাকা দিয়ে মাটির ডি মোদিতে আমরা রাস্তা বাইকের খুলি বন্দি।
146,rec_01_audio_25,দেশি রাকিটিচ নেমাতির বুদ্ধি নেতা খুন বিভাজনটা জমি খেলার লেনাদেনা কাকলিকে নিয়ে।
457,rec_01_audio_26,এখন ঘুরিয়ে বলে মানসিক সুকরিয়া লাকাল ছোট বাকুলির সাথে এখন জমি বলে কি বদল করে তাকে করার কথা কাবাকে ঘুরিয়ে ফিট মাসে হাটবে বেলা পাশে নামে পাশে নানি তিকোনা খান তোমার বরবার ফোমিন ভাবাবস্থা যান না।
487,rec_01_audio_27,এ জমি এখন মানসের কিনে নিয়ে তাই দলনায়ক নারা নাকি দিয়ে ফিকে করে লালিশ রাকালি তা কে দিয়ে বা ফিরে গেছে কাজ গেরোকে ঘুরিয়া পারাপারি ডাঙা।
286,rec_01_audio_28,দানির সমাধান হয়ে পরে ফিরে ঘুরিয়ে যে নাফসেনাফিনাপা বলে হয় না আমিন বলে ভালো নয় ঘুরিয়ে ডবল আমি নিয়ে আছে ঘুরিয়ে যেন সেই না পথে গিয়েছে মরিয়ম টাকা বেশি।
610,rec_01_audio_29,টাকা বেশিতে টাকা দেশে মিনার টাকা বেশি হয়ে এলা দেহি কালকে বলে দেশে খুটি টুটি গাড়ি দিয়ে এখন কমলাবালা কি হয় শাসক সাকতা গাড়িতে।
798,rec_01_audio_3,ছোট বাক্য কে না যাকে টাকে এমন চিকিৎসা করেন যেমন করিছো বাক্সময় শনার সিকিৎসা কর্বেজনেনিয়ে জয়সিনমখযতোমান বাটিগুলি অবস্থা কি।
956,rec_01_audio_30,তা কিছু খানকটা কর আরবরা ভাবে মতকে শুরু ওকে না কি না একবার পা নাকি হামাল ভাল মানুষ আসিতে আসে দুই দিন থাকে তিন দিন দিন রায়।
292,rec_01_audio_31,এক সময়ে উঠিয়া মক্কায় বারজানির জাসিয়া আসিয়ে ঘষিয়া করা বলে মানা পানি দস্তখত শ্বাসকষ্ট ঠান্ডা পানি খাবে।
132,rec_01_audio_32,তোরা ফুলি করবে না পান ঠান্ডা পানি দিয়ে গরম পানি করিতে তান্না পানি খাবেন করে দেয় সেনা মো টুটি কেনেন টকি সেখান দিয়ে পেটালে কলের পর যায় আপনা পানিয়াল।
514,rec_01_audio_33,কলে পারা যায় না পানিয়া নিদিও খাইলে খায় সাচ্ছা ভূমি করিমিকে খোরাউন্টের বুক পিঠ সাচ্ছা চক্ষে বন্ধ করে রিডারদের না টাকা না।
892,rec_01_audio_34,ডাক্তার ডাকা ডাক্তার ব্যাপরে আসিয়া তার লাইনিংসের মৃত্যু ফাইলে কেমন জামিরবাড়ি তামড়ি গেল নিয়ে গেল ব্যাটারা সিরিলের করিয়ে।
643,rec_01_audio_35,রায়ের পিপি নিয়ে গেল নিয়ে কোন নন্দাকে কাপটি মিলিয়ে যায় মাটি দেসেরাত জানাকে সাথে।
301,rec_01_audio_36,সাথে কিছু মই মাই সাথে গেছেদেহক মেলা গল্প অন্য বাবা মন রাঙ্গা অধীন জায়া দেরি হবার নাচাবার থাক কাসকে অন্য কথা।
68,rec_01_audio_4,মোট বাটিগুলি জামার বাড়িতে অসুস্থ হয়ে তারকারা সিল বাড়ি ছাগলকে টাকা দাপাদাপি একাদশে দাদার বাইক নিয়ে করা।
207,rec_01_audio_5,দাদার বাপ নিয়ে অর্থকে ফিলপাবনাসলিগ এসে এ পাবনা বাটিক পাকাপাকা নাইসে বমি এখন সদর হাসপাতাল নিয়ে এক সদর হাসপাতাল নিয়ে বা টিরিয়ে ডায়রিয়া থাকে বার কলেরা নাকতনলভূকিদিসি।
933,rec_01_audio_6,নাকাল ঢুকি দিয়ে পেটের মধ্যে বলে পয়দা খাওয়ার এই রায় এখন সাইটের দে নাতনি।
84,rec_01_audio_7,নাকতনোলদিসিনাকত নল দিয়ে সিরিজ দিয়ে সেই নল দিয়ে এখন পয়জন বাহিক আছে পারত বলে পায়জামা সে পায়জাম গুলে বাইকে।
792,rec_01_audio_8,সাইটে সেরে দেয়ান বাইকটি এখন কি অবস্থা এখন সুস্থ হয়েছে আবার পাবনা বাসা পয়সাটা বাপের বাড়ি মন্টিকে হাত পুড়িয়ে।
720,rec_01_audio_9,রানিবাড়ি খাই সে কোনো মত লেখা বেটিনা ছোট ছায়াটার ইয়ে গেছ স্কুল দিবার খিলোরা সামিরের ব্যথায় অসুস্থ হতে সাপটানা দে জানকি করে জাঞ্জিনিয়ার অফিসে।
496,rec_02_audio_0,আসলাম লিক কেমন আসি লেকেস ভাল আসন তেমন আসে মূল আসরে বেসমারিক করে সাতকান পারমিশন কিন্তু কিনা কাকা।
25,rec_02_audio_1,সে বাড়ি না বাহিনীরা কনেরাণী খণ্ড পিটিশন ফির গাছ থাকে চার্যের পূর্ব পাশে যাওয়া লাগে কিন্সে জমি ফিল্ড দেখা করেছিলেন।
442,rec_02_audio_10,দু একটা কাক যারা হোসনি কত্তি করেই সাংরিলা বান্ধবি ছিল নিজের বাফেট ম্যানেজ লুকমান বিমান করা কি কি কোকিলাকে পরি।
315,rec_02_audio_11,মৃত পীরগাছা সরকারি কলেজ ও পর বাড়ি থেকে সে বাড়ি থেকে তার বাড়ি না সেই অনেক দূর আমিমনে কি করলে করায় নাগরিকত্ব করা ম্যাচ থাকলে থাক মোর ম্যাসিনের ম্যাচ আবদুল কিমাশিক্ষাননা টেটা কুন্দকে।
41,rec_02_audio_12,যে পীরগাছা সাথে বাজারে যে ওয়ালটন দেখি না ওয়ালটন মোবাই ওয়ালটনকে ওয়ালটন আছে যে পুরে না করি বাংলার মতো ভূতের রাজ্য হেনান আছে টনের কোন পাশে ওয়ালটনের সাথে ভুট্টা বাড়ি খান দেখি না।
931,rec_02_audio_13,ভুতবাড়ি নতুন তামাটে পেছনে কি কি আছে সুবিধা না কত দেবতার সে বাবু খাবার বা তার থাকবে যা কিসমিসের গালে নাকানি সবার পারি।
462,rec_02_audio_14,মাঝেমাঝে বেরলে সেলেকা ভাল কথা তুই একটা রোমান সংসার যাকে এমিনি সিসনাকে হোক দেখার মত কি কি আছে তার কিছুই নির্ঘাত পিতা কমিশিনের একদিন ও জানাই মননকে একদিন টির ঘাছ থাকে না।
343,rec_02_audio_15,আর দুম্যাচের সে তুই আয় এটি মনে করে ফিন্যান্স আর আছে ওর কাছে পরিমামে পিকনিকে সেনা কোন খালা আরিয়া ডিপার্টমেন্টের আমাদের কমেন্টিং ডিপার্টমেন্টে খালে।
121,rec_02_audio_16,কেমন সাট্টা কত সুযোগ সুবিধা কেমন দেয় সাহার্যসুযোগ সুবিধা ভালদের সবচেয়ে পাঁচদিনে পড়ায় টাকা উনি বাসায় না ইন্দু একটাই সমস্যা সার কিছু বুজবার পায় না কে পর বস্তায় না কেশকিবুজধপে নামের ফিন্যান্সের মাস্টার হল কেমন করিরেকতমাসেরা তবলা মনে করতে কেলাস।
161,rec_02_audio_17,কি এর পরে অঙ্ক মুখস্থ করে পড়ায় না বই দেখে দেখে কয়েকটা আওয়াম নিকলে ভুল করে ছাত্র সাদিত কখনো কিছু বোঝে ছাত্র তালে জাগছে তাপের বাহিরদিকে বিভিন্ন সনে প্রাইভেট প্রতিটি বিজনেস নাসিমরা কেকটা শাকিলার করে শাকিলা।
