,External_ID,contents
0,rec_04_audio_44,কারবারিরা কে গেলে কাকে সাদি।
1,rec_19_audio_24,সানিকে অবতরনকরবার দেশ।
2,rec_05_audio_0,মলিকুলার জমবে কিশোরগঞ্জে যা সবচেয়ে বড় মশিদপুণ্ডা কামরানকে দানা অনেক দান প্রায় অনেক অনেক বস্থা বিশ্বস্তকে বছে অনেক টাকা।
3,rec_05_audio_18,প্রতিটি জমিদাতা মাহাসিন মাসের দারকে পরে এই বরাতে উত্ত টিপস ইতিয়ারা দূতবরকে আগে রাজা হাত ফলে।
4,rec_18_audio_10,তাতে দিনের নেপালদেবকে না।
5,rec_18_audio_37,পরে নিকারিকাটার সম্মত্তি দানবুইনবার।
6,rec_18_audio_8,মাজে সানজানা বা জামবাদ যে বিজয় মা জানিতে কেননা কি সোনম।
7,rec_11_audio_4,খানিক নাদানিতে না নিয়ে আসে এতেকরে কনসিলার তার তাকতা।
8,rec_11_audio_13,এছাড়া পস্তানি জাকাকে দানবেরা এই যেন আলাদভাবে।
9,rec_12_audio_32,বাইরে তুমি ইরা না কুমিরা ইরাকের চিনাক্ত মিলনকালে।
10,rec_13_big_audio_0_chunk_1,এ পশ্চিম বিষয়ে আর সাগরিকার ছিল।
11,rec_20_audio_58,একটি বিকিনি বেশি হতে মাদুশানকার নাতনিকে তার থাকা না নলকুপ।
12,rec_22_audio_30,কাকিমা নাকি গুলিতে কিমার।
13,rec_17_audio_8,এগুলি অনেক গ্রন্থ একটি ফুল নেবেন বন্ধ বা ভয় কাজ তাকে পরিনির্বায়েছে রিপা।
14,rec_16_audio_9,আমের মাদ্রাসা শিক্ষক যেকবার অনেকে সাজার আবেশে বারিক।
15,rec_17_audio_29,এর ফলে মানবমুক্তির।
16,rec_23_audio_22,বারাসাতের বরিয়ারকে পাকাকরন।
17,rec_22_audio_15,নেতারা লতা সকল কিকি কিনা হজরত।
18,rec_09_audio_15,পরে টাকিমারীর কাছাকাছি বালাকোটে গণিত।
19,rec_18_audio_21,আমি আংটাটা কিছু পদ জানায় মানে বলে আছে।
20,rec_20_audio_32,বাকি যুক্তি বা রাখার ক্ষতিকারক যুক্তিতে বিলপারের কার যুক্তিবাদকে কৌশালী রহমান এবং দেয়াল উড়াল পরিচালিত।
21,rec_07_audio_27,
22,rec_12_audio_8,ছবিতে কালকে তুমি তোমার কাকাকে মারে রাখছিল করে ম্যাট কামরা করে আমি বেশ মধ্যে আমি বা পণ্য মনসা সারের কলেজ তোমাদের যে।
23,rec_01_audio_1,কাপপানি নববর্ষ দিনাতিপাত।
24,rec_18_audio_17,নাকালে আমরা তবে বিকেলবেলা ভুমি প্রত্যকবার করে এই বিবাদে মাতা তিনি কেনাবেচার।
25,rec_06_audio_23,না কি যে দেয়া পরিতাক্তা নিয়নের।
26,rec_20_audio_88,তার মাতা কায়নাতকে।
27,rec_04_audio_37,কারিনাকে পারে পুনবা।
28,rec_04_audio_19,বা।
29,rec_02_audio_1,কিনা এলাকা এমবারের চলে বা।
30,rec_17_audio_28,তাকালকরের।
31,rec_25_audio_19,দিকে দেখে হামলাকারী হাটের কে তামাবিল আগে দিকে মদপানকারীকে মাতা তাকাতে দিত।
32,rec_18_audio_27,সে ভাবে মিকা কমহমিকেলজেলা করেফনিআসনিনা হয়ে পাড়ায়।
33,rec_04_audio_28,বনকানন কি কাসুন্দের দান কাছ।
34,rec_12_audio_11,দায়িত্ব বর্তমানে রাজনীতি নিরুপন সাবেক সহ জিমি আর হয়ে সিনেমন সার্লিয়ার তিন জেলার ফলে পৌলমূলকভুমাকে দেওয়ার দয়ারদান না।
35,rec_06_audio_29,কালে চাওয়া তনজেবের কি মন কাদিয়ানিরা কিমকিমার মাকবরমন্দ।
36,rec_20_audio_80,সংকতে আছে না নিমের কাছিমের কদ্দিন।
37,rec_10_audio_35,নাতাসার চলিলেন।
38,rec_10_audio_8,এই কারনে বিজানাতি কিনিবার বানানোর।
39,rec_10_audio_12,কম্পানিটি করেকিন্তু বালাসিতে এতে চলে সাহানি কঠিন।
40,rec_02_audio_22,সনজিদার সিকিমে ক্ষতি যেতে অনেক বিউটি কমাবেন ওয়াটামোলা নিম।
41,rec_09_audio_16,বাতাসের বেপজার জারামানি রাস্তা মহির রাস্তা থেকে আমাদের গা পাকা রাতটা পুরুতরা মরুর।
42,rec_12_audio_1,পাক আমাদের উপজেরার শ্রেষ্ঠ রূপার শেষের সবচেয়ে কাকাদের জন্য বাসনা।
43,rec_11_small_audio_0,মামার নাকতি কোয়া মাছ নাই গারজাকে মাছ না।
44,rec_02_audio_12,রাধিকার দাম বাড়া নিজনিতে জেনিফার নাজিম আসতো ফেসবুকে থেকে সহিত করে না আইন সহায়তা করে দেন উপটান সাসকা পারদ ফুলবালা।
45,rec_14_audio_44,কালকে পরেরবার লেবারনাম করাতে মাকামে বাইপাসের যা।
46,rec_22_audio_10,ত্বকে মনে বাকলার।
47,rec_15_audio_49,জনতা সেতারা করে প্রদানের কোকেনের কেলাব সে আগে ধরে বাতা জাগে।
48,rec_17_audio_23,এলাকার তিন বার লার্জার।
49,rec_15_audio_9,গিয়া চান জলে বলা হল কমরেখে না পারাপারের।
50,rec_20_audio_57,মাসাদুলের রাজ্যের পাগলা ক্লাব।
51,rec_20_audio_12,আনাম কে নামে রিরাকে কাজিনরা তার কি মা।
52,rec_18_audio_13,নির্মাণে বাঙ্গি ফিকা প্রস্তাবও না আজকে নাস্তা কাশি দুজাম আরেকজনের কাজের থেকে।
53,rec_06_audio_8,কাজ হল সকলকে বিবিসিকে বিপাকে।
54,rec_04_audio_4,এক কালে কাকিকেই।
55,rec_22_audio_32,নার্ভের বালিজানা সে রাজা শিরিরচালা প্রাপ্ত গুলি বা।
56,rec_24_audio_8,তার মালপুরপারবাঞ্জে রাগাদির নানা পজামালপুল্লে অনেক টিয়া তুফেল।
57,rec_09_big_audio_1_chunk_0,বানানরীতির সাতকানিয়ার দেকে।
58,rec_08_audio_11,সময় লাগান আইটি নিদিবাজাওকুমায়।
59,rec_17_big_audio_0_chunk_0,নামজাদা করকরেকে নানা না।
60,rec_09_audio_8,তাজা পাস্তা কিন্তু হরি আবার কি সুযোগের লোকে করুনারত্নে।
61,rec_24_audio_9,আর জিন্দাবাদে দি জেনারেমন।
62,rec_15_audio_28,তার মিনাকারি বাকি তারকাতে পরিদের।
63,rec_20_audio_42,কিরকুকের সতীনাথ জটিল ইসলাম অ্যালমানাকের একার পর করে কার বছর পরে এদের আমি ভাইপার মার্কায় বহু উৎসাহ পেটারসন লাভ দেয়।
64,rec_19_big_audio_2_chunk_0,বাসে কোনদিক সারকানের মানেকাকে নেকরসিনিতে পারেননি বাবা ।
65,rec_20_audio_56,কুন্দালানে তিন মাসের বিতান মাস সৌদি আরব সৌদি আরব মালিয়াকে মালয়েশিয়া কিছু প্রধান দেশ কি শিস।
