,External_ID,contents
0,rec_19_audio_24,সে দিন নেচে নেভাল জ্যোতিদাদা সামির ছোট ডান সাথে কথা না তারে সাথে আছে কান্দে না রাগে।
1,rec_05_audio_0,বন্দনা জন দেবিকাকে মাসে আসে নিমসার আমরা তোমাদের পেয়েছে।
2,rec_05_audio_18,জবাবদিহি কার কে গান ছবি দেখতে যেতে দেয়নি।
3,rec_08_audio_32,মেলাদিন কথাটথা করে না ইন্ডিয়ায় গেলনা ইন্ড্রাস্ট করাননা সে কটারেলির বুধবার দীপার শুনবে নেই।
4,rec_18_audio_10,তার দিবারাত্রির।
5,rec_18_audio_37,দলবলের।
6,rec_18_audio_8,তার দাবি দিকে বরদাকান্তের।
7,rec_11_audio_4,তার পরে অনেক মনোকামনা ডাকিয়ে একটি ফ্যাশন দিয়ে বেলা বেছে পুরো জীবনটাই জীবনের আর লামেলা।
8,rec_09_audio_40,এক মার্কস পন্নি রেমাক্রি সৃস্টিকর্তাকে আসে।
9,rec_01_audio_39,সুনীলকে অনুষ্ঠিত সে বিমানসেবিকা লিসা সময় মূল কসানের পরে মনের তারিনের হালকা করে নাম দে।
10,rec_11_audio_13,অন্যদের নিজে আমাকে অনেক ইচ্ছের দুলালের দুললাপুরের ঢাকা।
11,rec_12_audio_32,তার পরে দুই মিনিট সময় গেছে আমি ফন্দি পি বাড়িয়ে আমি তাকালেন সামনে পরে নিচে নমিনিকে ব্রিকসকে দিনে হোক দেখা দেয় পরে দার্জিকে করছে হেলেন হোসেনের আসে নি।
12,rec_17_audio_8,তা ছাড়া তারা কি সরসতা পরে সারাদিনের।
13,rec_16_audio_9,এই ব্যাংকে ডাকনামেব্যাংকি ডেল্ফেনভালো কায়দার হেনেছে তিনি ততটা প্যাটিনসনকে গেছে।
14,rec_17_audio_29,তুমি কি নামলেন নাকি উইল জাস্ট অস্টেন আগেই তাকে পাশ না টানাবালকথা নয়।
15,rec_22_audio_15,আমি কলাম একজন তীব্র দলের সাথে দানাদার নামে পতাকাবাহিরা কাজ বাস্ত পালন কুনিল।
16,rec_09_audio_15,কিন্তু মন্দ ছিলেন মুক্তির পরে কেউ দেনদরবার টানিয়া আরদালি কোন কোন বনান্তরে।
17,rec_18_audio_21,সাবাসিবের ববিতাদের অনুষ্ঠিত কর।
18,rec_13_audio_63,নাকি আপার মনে হয় কিছু ফাইনাল পরীক্ষা পুত্তন একবার সিনিয়র বসে এক ব্যস্ত সিনিয়ার আপাদের টেক মিটে না যায় তালে পায়ে যার কথা এতদিন।
19,rec_21_audio_19,তাকে রকমেরই না যান না বিদ্যা আবদুল্লাকে বাইরে নানা কাবারে কে জানাতে সালমান বা নিম্নমানের জানাতে ভাকারিকে।
20,rec_20_audio_32,তার কার কার সাথে কি রাকিমা মি জারাকাকা সরে নিয়ে কিছু করি না।
21,rec_07_audio_27,অতরা চাকরির সেদিকে চাকরি পায় তার বাবা মা বা ভাইবোনকে বোন থাকলে এটা বেশি বিয়েতে করে ক্রমকাস্টের এটা বোন আসমানে নামের মধ্যে চলে যান।
22,rec_12_audio_8,এবং বেশিদিন দাসে কথাকে দেবে তুমি আগে কার তার পরে দেখা যাবে নেরিদা জাতি যা কাতারকে নেরিকিরি ছিল না।
23,rec_01_audio_1,সবিতা আছে বাড়িতে নাতির পরে যাবার কোন জাগার পর কারস্তি করে বরিশাল কি শিলাই।
24,rec_18_audio_17,এ বার নাবাবানের হওয়া রানার প্রকারের করে।
25,rec_06_audio_23,ও যে বিরিজের কুড়াবে বট গাছ দিকে এক দরগা তোমারে দিনে মনে কর বরগার কিরম সিস্টেম এক বছরে তোমার এক বছরের জন্য নাকি প্রথমদিন করা।
26,rec_07_audio_50,রান দরকার যে গিলিকে ভিতরে নির্যাতন হলে চেষ্টা করা ফারহানাকে কোন শুনি বিভা যাওয়া বেগ।
27,rec_04_audio_37,পরে ফিতে শুধু গিরির তত্বেই গিরিটি বের বতমান বাসটি কাটায় ঠারখানর তানদিন।
28,rec_04_audio_19,পরে রিও ওকে আমি মা পাটনা সুইজগেটের মরবার মতও এলাকাকে বাড়িতে কে সি আমারে ওরা কয়েকদিন টার্গেট করে পার্সিদের কোন পাস।
29,rec_02_audio_1,মাটি পরে ট্যানারি রয়েছে উল্টাভাবে কোদাল বাড়ালে রাজনতিক কুপারের।
30,rec_17_audio_28,বিধান গিলবার্তোকে গতি গিলকে কি কাজপায়ের তিতের পায়েস একজন তার বর।
31,rec_18_audio_27,সারা এক একটি জাতির পরেশবাবু তিনি আমার বেচারিকে এক বা সাজিবার দীর্ঘ দিয়ে ।
32,rec_04_audio_28,আবার গাড়ি সাবিনে তারা সাইট পাকান পাঁচ খান গাড়ি নেতার দিকে কদিন পরে কি তামাকে সকালটা করে মনে সাকিবের দিমান সাই।
33,rec_12_audio_11,বন্দনা গোপালগঞ্জের কথা সেদিন যে কি ফেরাটা দিল্লি আমার রায়টিকে কোন দেবদাসের সে সকালবেলা আমার কাজ অস্মিতার কথা সে আমি একাই আমিরিকি এই চার অবস্থায় যে ঘর।
34,rec_06_audio_29,তা কর্তৃক রতিকসেসতালির বাথানগরিয়া কালকে আমরা দেখায় সিতাইয়ে দেখা পুত্র হিসেবে আলবা।
35,rec_10_audio_35,পতিপাদ্যের এনে শিলগুটি করা মারসিডানাস নাম ওরা সব ইন্ডিয়া লিবরা ছোট থাকতে করা সব।
36,rec_10_audio_8,কে কাকে সিস্টেমের নিমালাসিরি বাটার টাকাটা সকলের কারণ বাতার আয়কর না।
37,rec_10_audio_12,অর্থবান গান না বিনা সাত বেরকেকে আর যেতে জমি আমি এক তাকে তা হল পাখি ছিল কদর।
38,rec_02_audio_22,চৌদ্দ বার পর্যন্ত কোন আমরা অভিনে এবং প্রত্যেক ওভারে রান লাভ করে দুই ওভারে চার জন ভাই আমি আওয়েসি বোর্ডে নামার নানা চল্লিশ পালিয়েছে।
39,rec_09_audio_16,পরামর্শ সত্যি কথা বা পরিস্রাবের লাইন সাহাকে তোমার কোন না কাকাবাবু হেভি পুরাইব।
40,rec_12_audio_1,কোটা কিনলেন করা যায় নিজের পরে মরকতাকারে প্রদানে সকসময় আসল হবেন বাড়ালেন আশাকরি।
41,rec_03_audio_66,কাছে তুমি আমারে ডানা করা নাই সমরেন্দু ছিল তানসেন দানিয়াল কুকুররা সার্কাসের মাল বাস্তব চল কোলাকুলি বর্তমান তানসেনের বাড়ি খালি অববাদেন বড় মালকিন কি।
42,rec_11_small_audio_0,আর হটিকালচারের ।
43,rec_01_audio_21,আজি সরকার আনন্দ রমরমার ইন্দিবর না মাদ্রসায় দুই করতে প্রেক্ষিত অন্য পরের সে তাই বেশি করে না দিলে কি কয়েকরাত সেই ধরায়।
44,rec_02_audio_12,তারা মনে করে আউটে যায় মারামারি দেয় কালো দুটি বল মিস করি বড় করে ঢাকা বাউন্ডারিতে যায় কাছা বাউন্ডারির বেশ বড় অনেক বড় তার কারণে আমাদের এটা আমাকে মাঠনেতারা স্কুলের মাঠে আমাকে হাইস্কুলে মাটামাদেরমাঠ।
45,rec_22_audio_10,কারা পরদারনিরত আমি বেশি আর নিছতারা কর্ককর্তা থেকে সেনকাকাকে।
46,rec_17_audio_23,ও আবার একটি ব্যক্তির সাথে মিশে দানের রাখতে উত্তরে জনসনের ভালোভাবে ফটিগুলি পালন শ্রেণিতে মেল নাপলিতে নীতিমালাকে পেলে পটে না।
47,rec_15_audio_9,শেষের পরে বিচার বিচার বসাবার লাগার পর সে তোমার সাগর টাকি।
48,rec_20_audio_12,এক দুজন একসাথে খেতে বেরিলি করা হতে বেরিয়ার প্রায় কে।
49,rec_18_audio_13,এর আছে কারনটা তার পরে তিন দিন নিভবে তিন খান চালাকি আইনেসকে চাপ দলপতিরা সাইপ্রাসকে বন্যার্ত কারণ আছে ।
50,rec_06_audio_8,একজনের দেয়া যেতে সে আলমিরাটার মেজার করতে করেকবার কারবারিকে হিন্দু বন্দিরা ভালো ডাক্তাররা।
51,rec_04_audio_4,নাম্বারের নেয়ার হাপরের মাসাকি বারবনিতাকে একজন ছিলনা।
52,rec_08_audio_11,এনে বাতিলের মিয়ার এই ডাকাতরা মধ্যে মাদকাসক্তের বার কাছে তানিশাকে।
53,rec_19_audio_36,তাই দিয়া ফাউন্টেন কায়িক আবার আমি তার কম মরি কেগানকে তালিয়া রাতিয়ান সালাতকে তালি পরমপিতার পানি।
54,rec_09_audio_8,আমি কি মাসিমা ইন্ডিয়ানসকে বারের বেশি তার গেছে দামের দিকে না সে করেছে।
55,rec_21_audio_7,এক বিতর্কিত বন্দি কিছু কিছু কাজ কারা করে এর আগে কাজে নীলদার আর কেকের করে টাকা উঠিত সত্য সাধারন বেরকেকে তার পরে সবিস্তার টাকা দিতে।
56,rec_21_audio_34,কিনা দিবা কোরিয়াভিত্তিক তোমাকে খালি কালের মধ্যে যে পান তার কোন সমস্যা নসুমামা বব।
57,rec_08_audio_43,মাচা জল আছে ব্যক্তিসকলের।
58,rec_15_audio_28,এবার স্কুলে হয়েছেন নাইজেলের লিসার সেলিনা উনার কোন করছ নেরাল নড়লে যে চার উনার কোনো কোর্স নে।
59,rec_21_audio_42,মাসকারি এগুলি বাড়ি পশ্চিমারা পাল টিকেছিল পরিবেশ পলাশের কলা।
60,rec_03_audio_58,এ বিষয় চেষ্টা করে উদিনেসের পরের বিষয় বারিকণার আমি তাতে সৃষ্টি না করতে পারি জায়েদিরা থাবা কোন মিশিয়ে।
61,rec_21_audio_4,যে ফটোকপি করে দারিদ্রতার সিনেমা হলের নিয়ে আসল আরও বাইবেলকে মাথায় দুই তিন ভাগে আবদুল্লাহ বিবার।
62,rec_03_audio_65,কালকে গতকাল ঢাকা গতিপ্রবাহকে সাইটে ভাল না পড়া।
63,rec_11_audio_7,কিছু এবারের মে মোট টিকাতলার সব ক্যাবিনেটে শাসনের ভার সে বেছে অনেক রকম তিক্ত শাখা।
64,rec_12_audio_31,এই জানে আমি হেলান হিললাইন দুই প্রথমে পান্তিকে সিগনালের সামনে সিগন্যালের সামনে নিজের কারনি নাই আমি প্রথম বেডের উপরে চলে গেছে হালকা ডক্টরসের নাকি হেলাকে।
65,rec_08_audio_13,কারিকুলামে আসরেই তার শতকরা যাজকটি দলে রয়েছে।
66,rec_04_audio_13,বের কর বেশ কটি নাগেতমেআগে দিন কোকে বাড়িতে সামনে দায়ের পাঁচ সিনাবা লিগাল না পালিয়ে।
67,rec_04_audio_33,তাকে মিটাবেন জাতীয় কাবারিয়া তালিত গফিলতিতে ভিগান বিলদান তলে যে কন্নন।
68,rec_09_audio_27,আর অভিযান নিজেদের দেহকে তার যদি মনে করে যে কাছে না তার বাবা বাবা মনে বিরাট মানে বিশাল ছাপরা কেনার আমি পবিত্র।
69,rec_11_audio_48,কারণ তা সত্যি কি কাজ কি পানবাজারের মাদকের।
70,rec_17_audio_12,করে না বা কাসটমসের কাটিতে আর কোন পাতাকপির দুটি দিয়ে মাকবুল।
71,rec_08_audio_39,রমনাবাগান জোর কোরানে কাটেনি।
72,rec_01_audio_4,আকবর কি কর কবল হামদুল্লাহ রকি অবস্থা অনেকের অনেক মোটা দেহাই পালাম না।
73,rec_03_audio_11,এ কয় বছরে কোর্সের পরের বছর সাবজেকটিভ অ্যানালেন কিনা কি করা দাইন্যা করতে।
74,rec_07_audio_14,কনের বা খারাপ হয়ে গেছে মাঝে কদিন চাঙ্গা গতিবিশিষ্ট টেলি মিলেমিশে রায়পরিবার।
75,rec_11_audio_38,সাইকেলে ধরে কানিহারি কোনো ঠিকের কোন লাইন থাকে রিহাবিলিটেশন ইসেন্টাবাগল শিরেনামের ধারায় দেয়।
76,rec_02_audio_5,বোন সাথে দিয়ে তার ভাবে টি লেজিসলেটিভ মাটিন্দর যুক্তিকর্ত মানামা মোটামুটি বাড়ি তারাতারি আমাকে শাদেরা খেল তার মনে আছে।
77,rec_18_audio_19,মা টাকা কন্ত্রেরাসের।
78,rec_12_audio_47,রমিত জানি আমি ঢাকায় গিলিয়া মানে বিরিতিতে বাড়ি অসুস্থ পরেশকাকা গেছে ঢাকা গড়ে বাবা সাবেককালের গেছে তা নিয়ে।
79,rec_10_audio_36,কিরাত ভাল চিরে না সে সামারসেট সেরা কন্যাদের দেশে।
80,rec_03_audio_17,টিকটক মতো ব্যবস্থা তারা আসে কিসাকের পিছনে বড় নিতে যাবেন না কিছু করা জমি চাকতি যেগুলো আসরগুলো নিয়ে মোটামুটি নানা চড়া।
81,rec_15_audio_10,রাগার নিলাম না রেখে ছাগলের পোষা বন্ধ বিরাটি তা ছাগল উজেলার মহিলারা তালে কিভাবে ভালো থাকে থাকলে বাড়তে দেয়।
82,rec_19_audio_3,সালাতলি খাবা মেলা ফিরে কানাটাকে পরে তলিয়ে ইবিসাসের মধ্যে জাতি বা চাপ কানিজিন।
83,rec_03_audio_35,সরকারে বারে করে কবিতা ধন করে এমপি গায়কজনাইকরা যায় আমার আকরাম শেয়ারের পিকেআর বহু উদ্দিন পরের মাঝে মাঝে হন দেখে।
84,rec_11_audio_39,কোন লাইন না মায়ের সকল সারাতেও পারলে সারা বুজাব যাতে কিছু মনের মিলিত বাড়াটা জামেলা।
85,rec_05_audio_19,রিতাকে বিয়াবাইল চালাতে আর মবাইলের পরে তার ফলে সূর্য।
86,rec_13_audio_17,কিন্তু জামিয়া বা এদিকে জিরা মিসেলেনি তারাতারি কারণ রাজি ব্যবসা করে বসে লেখাপড়া ছেড়ে এসে ব্যবসা করা নানা ইসিতে ব্যবসার।
87,rec_16_audio_46,তার পরে জানা কি কব।
88,rec_19_audio_21,সম্মানরে টেমি ও তাভাকোলির ফারাক পাললিক পাদে বাড়ি হগলতেরে পিসিকে।
