,External_ID,contents
0,rec_14_audio_55,তার পেছনে মামাকে গিয়ে আর ফল বানাভালি দুই মাস মান মাসাইমারার টিটের দিনকে গেয়ে মাসকান্দি ইনানি মানাবার সাদা।
1,rec_19_audio_24,ছাত্র নাকি স্কুল স্কুল দিকে ফোটাবেন আর সি আর যাবার তার কোন।
2,rec_14_audio_90,রেলের পেসারদের নসিবনগর যে ফললেশারআনফরা প্রেজেন্টেশন তনু এই দুটি সাপমারা ফি এক মাস টাইলারের এক আয়ার বুঝাইনি মেম্বার মাতাল।
3,rec_05_audio_0,কিনতে সাকারের বাস পেনিস হতবিলে সাইবার টাইমসে।
4,rec_14_audio_124,আর কী পরিমাণ পরিশ্রম বরণ করে ব্যাক কনফিকার প্রাইভেট বারসিক সারাদিনের ওয়ারে একারনে প্রশ্ন তার বারো গান দিয়ে।
5,rec_19_audio_109,রামদাসের দিতে বক্কর সাহায্য সহযোগিতা তিশাসহযোগিতা যদি।
6,rec_14_audio_121,পালকিতে কেননা পরেরিতা জীবনধারা পুর্ন।
7,rec_09_audio_60,জাহাজ মাসুল ছারখার তবু গল্প লিখি বাজবার আমি রাখতে চাই না আর তার কোন রাজ্য করে হাতার তারি।
8,rec_11_audio_4,বসতিটাকে টিবারের সালসলনি করে মরতে অনন্য কেন্দ্র।
9,rec_09_audio_40,তমা গান শুরু কলকাতাতে গাড়ি লালানা ফারকানকে সিরিজের গাড়ি।
10,rec_11_audio_13,আহারাদির খলিফা বিজিবির সারকোমা দের ঘটে হার্থা চরম ব্যর্থতা জীবন।
11,rec_20_audio_58,টিফিন পালার মধ্যে মাতাবেন তার থাকছে খুশিতে।
12,rec_17_audio_8,এ কি রাজকন্যারা কিরিক্যবস্থা সাদুর আছে মাতবে বড়বর্তা সুরিন্দর।
13,rec_16_audio_9,দুজন বিলাসিতা বিজিতরা হালকা পাতলা যে আহত দিতাম মানব মোচা দিয়ে।
14,rec_17_audio_29,কেউ রেনোভেন সুন্দর করি দেখে নিন ইংরেজির গরিবের যদি এ ঘটনা আর কি লেবার আর দের সকল খুব বরাত গুম বেকন থানা।
15,rec_14_audio_133,তামানরাসেট ক্যাম্পাস নানা করিবার সইপর্ব বুকের কল্পলোক আবাসিক না করে আন্তরকি টা টাইম টাইম কিছু দিয়ে ।
16,rec_17_audio_54,এই দল গদিতে লভতে সানির করে যে পরবর্তীতে ফরসি পচনের রিপোর্ট দিয়ে নাসিমরা বিয়ে তারাটা বাজায় কায়রোতে কবি রবি হানে আবার কিছু হায়নার আবার উচি।
17,rec_09_audio_15,বেগুনি মিলে আরে ম্যাচে যাতে আইন ও বুজলাম কিছু রিয়েল মাদ্রি জিততে ভাসমান মত নদীতে তা আরকাম্যাচেযেকিছু একখান হলে কোয়াসি জোনাল ফেন কিছু না হতেপারি কিছু এখন হয়েছে নিল্লি কিনরালফে।
18,rec_21_audio_19,রবিবারের এই পতেঙ্গা রেনেতাকে।
19,rec_19_audio_81,পরীক্ষা বেকার অপাসকানাং স্যর সাসলিকের বয়লারের রানার বিবাহ।
20,rec_20_audio_32,মাবুকের দিয়ে আরনেস্টে পদে স্টেপনি দিয়ে তার নানার সেলিমের বাজার ফেলনা।
21,rec_07_audio_27,এই ছাপাবার আপমানে আমরা নেড়েরা পিছে।
22,rec_12_audio_8,গাছ রোপণ জমায়ে সুন্দরভাজাইর তরিবেসুন্দর তাহের আর গাছপালা রাহুদরাহিক সাজায়ে আয়ত্বে খুব ভাল পরিকল্পনা।
23,rec_14_audio_77,কান্দিল হতা বন্ধকতা নদীর তার জন্য আলাদা পরে দুদক ও লিভো।
24,rec_17_audio_48,বা সত্য সিরিয়ান তবলা হাকান আবাহনে মজিবর গরিলার ফনিনিকে নগর বড়ভাই হতে।
