External_ID,contents
rec_01_audio_0,না না মোহাম্মদ ইসলাম ইয়ারুল ইসলাম মনে করেন ইসলাম মূল দেখতে পারি।
rec_01_audio_1,মনে মনে আরিকুল ইসলাম নিজামুল ইসলাম আমি বয়সটাকে বনসান আমি মুক্তিযুদ্ধ দেখমুক্তিযোদ্ধা যোগ।
rec_01_audio_10,নরকের মাস্টার বারিকদার করাবে করারপর পরব।
rec_01_audio_11,পাক্কা এক কমকর্তারা আনবারাসান ডাবের।
rec_01_audio_12,যারা মনে করেন যে প্রতিদিন মা করা পারাপার টি আবার পানি বের না আসছিল।
rec_01_audio_13,কাছে শিক্ষা ককাছে থাপারদের বাবা ঘর করে যেত।
rec_01_audio_14,তা কি তামাকপাতা।
rec_01_audio_15,হসকিনিনি খুব কম বা তাতে পেক্তিযোদ্ধা ভাবনা।
rec_01_audio_16,তিরিক্কে কমিসনকে বলাকা ক্রিকেট ছিল সেকথা দাতার খেলানার স্কেটার কি সিকেতে অনেক।
rec_01_audio_17,অনেক মনসারাম খানদান ক্রিকেটকে কষ্টের ক্রিকেট কাসেমির করেছে।
rec_01_audio_18,এর পর মনে রয়েছে অনেক জাতের ব্যবসা করার ব্যবসা বিবরণটা কোথাকার।
rec_01_audio_19,দশদিন কিসান বাহ্যায়তনটিকে ও ইভান জেবেল যে বাসিন্দারা সে রাসিনা।
rec_01_audio_2,সদুক্তিযোদ্ধাদ নাবান্না পাতাগুলি চলি করে মানসারি করছেন মানবের মানুষ।
rec_01_audio_20,আবার এই কয়েক পানবাজারস্থ নিরসন ছিল দিনের বসতে লবন লবণ তা খাতেপুরা।
rec_01_audio_21,জাতাজাত মেকানিক লবনের ব্যবসা করে বনের পরে ব্যবসার কি সে আদাতের খুব বড় ব্যবসা করেন বা খুব বল ব্যবসা কর্সিকাকে।
rec_01_audio_22,আর সে ভবনের করে ষ্টাস্ট্যাস মনসাবালাকে না কেন পটল।
rec_01_audio_23,পটলবাবু মনের বাফের মেলা সম্পত্তি সনদকে উত্তরে সারা যাকের বাফের।
rec_01_audio_24,এতে আমার বাবা কি কিছু নিজেকে বেশিরবার বন্ড পরে বেবাকিছুবেচছে বেচারার অংশ দেবতাভাবে আমরা বিশ্বে আমরা বেশি জানি।
rec_01_audio_25,তাদের ব্যবসা করছে তাদের ব্যবসায়িক হুতুরা ফিমারের কুসিনার।
rec_01_audio_26,এয়ার তামপাত্রা দুরাবস্থা বার্তা সারাদিনে চলছে পান কাটা বানানো।
rec_01_audio_27,এ বার হাসনাবাদের ছিলেন না।
rec_01_audio_28,সিনজারের কিন্ত রাতকানার কোরের রং দিতে নিজের সীমাকে নিতাম।
rec_01_audio_29,ভাতা রিনা যে তার বিজয় তাম্বারাম নামে গামলা ডানা ছিল এবং আবার।
rec_01_audio_3,তা মাসকাবারি যা দ্য ঘটাবার মরিয়া সমুক্তার সে মুক্ত দেবতা ছিল।
rec_01_audio_30,প্রতি বাসসি বাসের একটা হাসছিল কুলিবাগানের তানিয়া ফলে আলগা পাকালো।
rec_01_audio_31,হারা প্রথম আমায় শেষ অবদি কাপুর দিয়ে কি সব ধরনের কাজ করছেন জনের একটা টাপুর পদকসহ করেন ।
rec_01_audio_32,মানবতার নিচুতলা তন বান্ডি বান্ডি ফাঁসের মিনাবারি।
rec_01_audio_33,এবং সিদারিনের পরে রংপুর বিভিন্ন সাথে রিতিমত আন্টি তখন বামরা।
rec_01_audio_34,বেতনের দেন লাগে নরাকার নাড়া দিয়া নারা করে আবার এটা সুকারের নারাজ সুকলমে পর্ব।
rec_01_audio_35,ফলে তিন মাস পার পরেশকাকুর তারেক সাসেক্সের কোন দাম মাসে স্যাকরা।
rec_01_audio_36,বাসার মনে করা যায় না হারার জানা পরিজনরা করে না।
rec_01_audio_37,বাবার সুন্দরকান্তি।
rec_01_audio_38,বানিবহের মরবার করা ছিল কারিগররা বাহিনী বাজারে বিক্রি করছে নদী বা পরেরদিন।
rec_01_audio_39,সংসারের মনে করা করকরেকে পাসের।
rec_01_audio_4,তারা কেন থাকে গুলির কাছ একদিন কেরোসিনের বেলা।
rec_01_audio_40,কালের মধ্যে ফাস্ট রিতিকার নামে তার অনেক অনেক বর্তমান তত্ত্বের সাই।
rec_01_audio_5,এর বাগাববাজার ছোটবেলা সামনে ছোট বা কেমন নিকের।
rec_01_audio_6,আমরা কি সুনীতিবালা তা কর।
rec_01_audio_7,তাকে মনে নতুন করে শুয়েছে নসিহত শাক মামার মারার কাফুরিয়া ইতারা শুরু করছে।
rec_01_audio_8,বিস্কেকের।
rec_01_audio_9,মাসে মাসে ফি বামেদের পরে আর স্কুলে বান্দাকে।
rec_01_small_audio_0,আর মনে কতা করে বাংলাকে আর বাসন্তি চলাকালে নির্দিষ্ট রাধে।
rec_02_audio_0,আমার কর্মজীবন মিতালির মমতা ফারমিনোর মুরগি ফলে।
rec_02_audio_1,কেমন হল পেপার পরে নরপতিরা পুটকিটা করে।
rec_02_audio_10,পালন করেন দরকার না লোডশেডিং কম দরকার জেনারেটর না আমরা গলা মিটার এলাকা সৌরবিদ্যুৎ ব্যবহার করার বেশ কলাতে লাকা জেলা এখন লতা।
rec_02_audio_11,সবাই একটি একটা সৌরবিদ্যুত লাগালে লুই পালা বা বাবা আরাম এলাকার উন্নয়ন রাস্তার নেতিমূলক রেলের উন্নত দেশে উন্মত্ত সরকারের উন্নত লাগায়।
rec_02_audio_12,এ রাস্তা অধ্যক্ষ স্কুলের কালান্দর গাড়িচালকের করি যা অনেক জন্তুটার খালি।
rec_02_audio_13,পরে নতুন দিস্তা রাস্তা সস্তার মাসখানেক জামে একেবারে করতে পারলাম কালিমা কমাতে।
rec_02_audio_14,দেবকুমার কুমার তাকে এটি আমার কেমন করে পরপর পরকালকে ফুটবল খেলা দেন যে ফুটবলের।
