,External_ID,contents
808,rec_01_audio_0,"কেমন আসেন! ভালো আসমা! কি খবর আলায়? কি খবরা শৈলের অবস্থা খুব খারাপ! মুক্টুমার শতামহ হয়ে এখন কতা কভার চাং, ক্রতি দেপট করে, কনো থান কমা কি কন কমা আসম আয়ও!"
21,rec_01_audio_1,কিকভুকো? তোমা নাম কি? মোন নাম্ত ঋণে? মোতমার বয়স কথে দাঁলেন। মোতমার বয়স হল্লিশ। তো কিকাম করীমায়ল।
151,rec_01_audio_10,"তাই আঁকা সাকুরি করে।তে ভালো ত্বতবরা অগাভিশন খেলে যামানকেতে ভালো পাইস যেন, ভেটি টেলা অসুস্থ, এই যে ঘুম যাক্সে, হাসপাতালো জায়া, খাওয়াসিক ভাবাহিনেইন,ঘুম হয়নায়।"
314,rec_01_audio_11,"-এম তাই মাতা ঘরে, মাতা ঘরে, উল্ডেন্ট থুয়ে আলু-এলা থুয়ে বাড়িতানু-এলা যে কী খবর-এবং ছোট বেটি হাঁ ছোট জামাইয়ে বলে ফির পাতলা পেখানাল হচ্ছে-যাবারও তাওনা ক্রি কোড়ো।"
196,rec_01_audio_12,"তো ছড়াপবা করা নাছে, কালকে হনা শ্বেমায় রুটি করিয়ে দেন্ত, কালকে আজার দেখিয়েশিল।"
452,rec_01_audio_13,"এনা সিরিয়া করবের কবার নাস তাল দুইদিন থেকে পিন্ডু টে পিন্ডুয়াটি অবা যায়ে না, এনা সিরিয়া করে নিয়ে গেলে হয়। যাময়েছিল পাতলা পেখা না হিহিসে ধানের সিরিয়া খালিকানড়া আলাম হয়হিস্যায় পিন্ডুয়েস্য পয্যবাপেয্য পয্যবাপ্যবাপ্যবাপ�"
660,rec_01_audio_14,"তিনা না পেমায় অতিরিষ্টকা বলে আটিয়ে কোলার হালা।শেখ কলাগুলো নাই ফুরি গেইছে, এর দিনে আগত আছিল, এলা না সে কাজগুলির শেষ, কলা ও ধরা চেচাছেই, এলা কীকরম এলা বিদ্বিদ্বীযে কে কে কে কে স্বটাববাপী করে।"
384,rec_01_audio_15,"তাই ওই যে গরু বাছুন নিয়ে গেইছে, গরুগ পানি দিবে নাকসে, হাটবেলা, হাত যাই বে, দোকান নিয়ে। এলাফির কৃষের দোকান করে। ওই যেনজির দোকান, রেডিমেট কাফ্রের দোকান। ওই জন্না আরও ফাঁক চল নাউলো ব্যযেক পাপড়বাস না যেন্যবেকেকেকেকেকেকেকেকেকে"
664,rec_01_audio_16,"মরারোচ চোখের তীয় সংস্যা হয়ে গেছে হন চিকিৎসায় করবের না পায়, টেকাটুকো ভাসিরে কায়মাহিনে দেন না।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।�"
925,rec_01_audio_17,"তবল বড়া অভিযোগাতে, কোন করিয়ালা কোন, লিলন চিকিৎসা করা য়েলা যদি না চোখে দায়কে তালে ক্রি করবে এলা?এন্ত্র স্মর্ভা এলাটা বিয়েয়া করবে, বিয়েয়া খান তোমা সবাই মিলিয়ে বসিগে, চোখাযোজকে না রকম কাম কাম করে করে করে করে করে করে করে কর�"
696,rec_01_audio_18,তর্পেটির আছে না তর্পেটির ঘরক নিয়ে আসী দেশ।
425,rec_01_audio_19,"কাইয়েলা দে' চাকা! বিপদা থেকে বিপদোয়াটি! কারা কেনা কোন ছোটো বেটিতে স্কুল যায়, কায়ান দীবারী দে'য়, কায়ি দেখে, কায়ি কেকে করায়।"
855,rec_01_audio_2,সংসারে কৃষি কাজ করঃলোসে তেমার জেমে শুন-ছিলেন স্বকের বলে সমস্যা তার কিকারলেন।
608,rec_01_audio_20,"কারও ফির বনের বলে ফির মাতা বলে ফির অফারসান করেছে, তাইনতে শ্যাটে দুই মাস থেকে করির আছে, আরাক তাঁতর ঠ্যাঙ্গের বিষয়তে বাছে না, তার বগু একটা আছে, তার বগু ফির মাতা ঘরে, বমি করে, বিষমের থাকে উবিন্পুর কমাক করেখর করেখর করেখর করেখরগেখরগেখর�"
40,rec_01_audio_21,"বটির ফিক কি হয়ঃ, তমরা ফ্যুপুটুপু হয় মিন্যা ফি, তা ফির কেনা সভাইমিলিয়া তা কেনা ফি কেনা ফি সভাইমিলিয়া ফি হাঁসে, ফি বেলা হয়ে কলা করার কিছু আছে।"
661,rec_01_audio_22,"হোয়েজোদি কেল লাখি কর্মে, যেন ফেলে দেয়া যােকে। কেগসোরম্যাং খুলি খেন বলে মায়সে পায়জিয় হোন মায়সা করার কারজউত্ত না-ইয়ুমা হেকম ফিল রেকটটত কোনো অথন দেকট করি বলে নেছায়।"
86,rec_01_audio_23,"এলাকি কর্মালা, রেকর্ড করিজিকেল মাইশীর নেয়ায় করার পিছি হয়াছে। জমিটি একম খাঁড়ি দেবায়েন? তাছাড়ি দেম আরাক পাশেচ ডিকি পাশ্চালা হামাদ দেবে, অতি নাদিয়া কীট কীকরবে, হামাদ জমিক খানের ঠাকমাদ ঠাকমাদ কবেন নায্যায্য।"
342,rec_01_audio_24,"হাটম আলাকম পাশে আল্লায় আলাকম পাশে হাটায়, দেগীতে আলাম মন্দামও, আর খুলি খ্যান খুড়িত হামদীনে টাখা দিয়ে, খুলি মাঠি খুড়িয়ে দেগীতে মন্দম, দেগীতে মন্দযে হামদী রাস্তা বাইকম হামদী মন্দি মন্দি।"
146,rec_01_audio_25,"দেখি ইউমরাক রিখট করি কেন এলে, হামার চিলায়ে বুদ্ধি নেয়।"
457,rec_01_audio_26,"এখন ঘুড়িয়ে বলে মায়শির এপায়, মায়শিরি লায়, সুস করিয়ে লায়, দেসে ফুম বালা কম বালা। সুটর্ভাব করার খোয়া খোয়া করার কতা। তাইকে ঘুরে ঘুড়িয়ে খুড়িয়ে মাশ বাজাল বাস্তাধান না।"
487,rec_01_audio_27,"এলাকিকরমো পুলিশক ডাকাজি, পুলিশাসি তাই দকেল দিয়েতায় ফির দকেল না দায়, না ফি দিয়ে ফি দকেল করবে না দিয়ে এলাকিকর্ম পুলিশক রা কাঁচি, পুলিশাসি তাই দকেল দিয়ে দায় ফি রয়েছে কাজকার বেড কাটপের হযেছাড় ফিনিত্বমীপীলেপীলেপীপীপীপীপীপীপীপীপ"
286,rec_01_audio_28,"ডাঙ্গানে আগিনে একজায়, ফিরের সমাধান হলেও হয়ে পড়ে ফির ঘুড়িয়ে জেই না প্রেই না পেহন আ কাবেলে হয়ে আমিন বলে ভালো নোয়ায়।ঘুড়িয়ে ডবল আমিন নিয়ে আছে ঘুড়িয়ে জেইই জেইই নাপথ হয়ে করিয়ে করিয়ে।"
610,rec_01_audio_29,"তাকা বেশিজে তাকা দেশা আমিলো, আমরা তাকা বেশি হয়নি, এলা দেশীকাল কেবলে দেশে খুঁটি-ডুটি গাড়ি দিয়ে, এখান কৈমেলা, তোর বরাপ বাগ বলে, ডেয়া করহ কি হয় চাষ করিয়ে এখা শাক্তা গাড়ি দিয়েও।"
798,rec_01_audio_3,"ছোটব বাক্য আন চোখেই নাদাক লোটা কেমন নোয়ায়, চিকিৎসা করেন, যামন করী হোক।তো ছোটব বাক্য এস্তম আয়েও আখনাস্যা চিকিৎসা করবেদনা নিয়ে যায় ��জিনমক।যেতমান বেটিগুলোের অবস্থাক ইলা।"
956,rec_01_audio_30,"এরা কিছু খাইমৃন্ত দখল তা করার দরকার, না খায়।"
292,rec_01_audio_31,"একটা সুমে উঠিয়ে মক্কয়ে মায়ো বারোধায়ী, বারোধায়ী আশীদ, হাত্রাধুয়ীয়া আসিয়ে, ঘর্পদোষিয়ে কয়ে বলে মুখানা পানিদেশত মা খাও, কমমত মান্লা ছাসক্রস্ট অফিট ঠান্ডা পানি খেমেন।"
132,rec_01_audio_32,"তরা কুলি করবারে না পান ঠান্ডা পানি দিয়ে গর্ম পানি করিতে তাকফির ঠান্ডা পানি খেবেন, কোয়েক দেশ এখনা, মোটোটি হান্দ কীজে, হান্ড দিয়ে পাঠায়।বলে কলের পারজায় আহনা পানিয়ে দিন্ড খায়লি।"
514,rec_01_audio_33,"কলে পর্যায় আনা পানিয়া নিধিম খায়লী, খায়া সাতশাত তাই ভূমি করি, ভূমি করি, ত্বখনে, ত্বখনে, নাট আউন্টাইল, ভুকডোলন, পৃঠিটি দেলন, সাতশাত চক্ষেণ, বন্ধ করিয়ে, ত্বখনে নাই মৌড়ি কেলম কল্ম।"
892,rec_01_audio_34,ডাক্তর্প ডাকায়াত ওদেহে পরে আসিয়ে তোয়ান নায়েন শেষ।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।
643,rec_01_audio_35,তুমরাজলে যান নিকায়ুন সাথে।
301,rec_01_audio_36,"সাঁতে গেছে, মুয় মাহ, মুয় সাঁতে গেছ্নো।"
68,rec_01_audio_4,"মোর ব্যাটি হলে, জামায় বাড়িত মায়ো, মোর নাতিতে তাইও অসুস্থ হচ্ছিল, থাকল কাম বাড়ি, সাকল কাম দেয়ে আছাওয়া টাভাটা ফিনে আগেছে, না পাকা দাদার বাড়িত নিয়ে গেছে উদ্বাবাপ।"
207,rec_01_audio_5,"তাদার বয়েতনিয়ে অর্থাকেই ফির পাবনাচলী গেছে, কেন পাবনাজায়া আটও ফির পাতলা ব্যাখা না হিসে ভূমি এখা সদর হাসপাতালত নিয়ে গেছে।"
933,rec_01_audio_6,"নাকত নওয়াল ঢুকে দিয়ে পারে ফির প্যাপের মধ্যে বলে পয়্যাময় আহিসি। কত অখলিয়ে ছাওয়ার ইজেন্ট রোভ হয়? হয়, এখন চাকটে এক্সরে দেশে, দিয়ে, নাকত নওয়াল দিয়ে, ফিন্দ্বন্য কর্দ্বন্য।"
84,rec_01_audio_7,"নাকত-নওয়ালদী সে, নাকত-নওয়ালদী এবং সিরিজ দিয়ে, সেই-নওয়ালদী এখানে প্রয়জান বাহিক হচ্ছে, পারত বলে প্রয়জাম হয়েছে, সে প্রয়জাম গুলে বাহিক হচ্ছে।"
