,External_ID,contents
819,rec_01_audio_0,"- জমি নালি, তিনি বাবায়ুড়- বানের মালদে একটি উপ- মাবামু তিন ছোড়া থেকে- শাস্যুদের দেয়াং শিড়ীতিয়াম বাইত, লেন, আমির শুড়া জমি উপই আম, আসকা-"
23,rec_01_audio_1,ইস্টিস্কাপায় স্বাপাশ্বিনী তালালা আকলীন ও বিভায়।টিন চর্ডের দিলে পৃষ্ণ হিস্ট হয়ে গিয়েইস্ট।টিয়ে আছে মোদিক।টিস্টিয় ও বাড়ায় টিচেসেসেইন।টেহান জ্বমাসনায় হয়েছেন আমনদেখি নাটটটিখ পেয়েহ বামনিন্তীন পয্বাবাবয়েপ কম্যবাবয�
167,rec_01_audio_10,ডিসফু ডেলিকর্ট কাপ ঝাক।
326,rec_01_audio_11,এ বাবা!
214,rec_01_audio_12,"-ছিল গান থাকায়?-সমস্যাগী-র্নাধীলের সমস্যা ন্যায়, কাবুল্লবাইজে মকা-বিশূমেলো বন্ধ উত্তর কাতে রিভ, হনের কাতে নিয়া, মিশ্বাদিন রচনানাগো, স্বাধিন, ককুলো-তারকিমেইন্ট ও মালযেজজন্তার, তশ্বাম্নের তন্যাপ নিতান না।ায্বাযের সুন্দারকের "
465,rec_01_audio_13,"আছেনিয়া, তির অত্য সঞ্জী কেম নেল মা? এটা আছেনি আয়েছেন।মা।"
867,rec_01_audio_2,"কোতে সাক্যত নিসে, বা লুইসে।"
812,rec_01_audio_3,স্যারবেট আইনো-দশটিকে বিস্কুটি বসা।
76,rec_01_audio_4,- দ্বিনেটা- তিছাইয়ের গিছে- তারান- হাফেন না- করা- লানাই বে- বাবা রিলেক্স- লিলিলেক্স- লিলাক্স- ম্যালী- না-না-লিল এবা মরা তামার হেড়ে- তন্যালযে পণ্যের ক্রিষ্ঠ-
229,rec_01_audio_5,"কেই সুন্দর কাঁকা! নানা উপায়েক কেলা রাইনভায় কোন মুবাল উপয়? মেবল যাপে যাচকে মুবাইয়েট উপয়।কা,কা,কহ, আমাই তৈরচের শেখায়।কা,মুবাল হচে যাচা,মুবায়।"
935,rec_01_audio_6,কেড়া!
92,rec_01_audio_7,"আর জাত মাল আবাস মা হাজার ছিল উদ্দি, আর উদ্দি, জবারা বিক্রিতে আরা স্থনা পেটামে? টিকাক্রিল হাজ দ্রুগুলোটে। আরা কোন তলাক্রমে ডিলুশিন ক্রি? মা ক্রাকে ডিলিটি বিকেডে মেলগ্রমঙ্গা চেলে।"
807,rec_01_audio_8,"বিন্দীভাবা, তালাকামাট ডিলুসিংকি। কমারি। কমাবি। কমিলোসিংকি। কমিলোসিংকি। কমিলোসিংকি। কমিলোসিংকি। কমিলোসিংকি। কমিলোসিংকি। কমিলোসিংকি। কমিলোসিংকি। কমিলোসিংকি। কমিলোসিংকি।"
736,rec_01_audio_9,"সঞ্চিয় করও, এলিগীগুই সিরিত্রের বিরুদ্ধে কেন নেই সেগেরিত, এই সঞ্চিয় এটি সিরিত্রের বির্ণেষ্ট করাও, ডেক মুক্তশ্ররাজ নেনায়ের একটা বিস্কুরানা না।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।"
212,rec_01_big_audio_0_chunk_0,গেগলায় লাভ কি হাসানের লাবলোহাস হয়েছে-
933,rec_01_big_audio_0_chunk_1,ভেড্রানো দশ টিকা বিস্কুরো থোয়াত।
500,rec_02_audio_0,"- মানিক ভাই ও মুবার কি নি মুলিয়ে হবাই মুলি দক্টা লোয়সিলাম লোয়েসলাম ভাই-লোয়েসলাম হেঁ, আটা যে কী মুলিল লসুম?- লোয়সিলাম ভাই আও এজে ডেই ডেই রিয়ালমিস সিওয়ান ফাইপ-টেই রিয়ালমিস সিওয়ান ফাইপ।"
29,rec_02_audio_1,ইমমু হল্লা কি আলো কিন্তু সে নেলাকাত
456,rec_02_audio_10,"এদের কর্তা ছেকে, মোটমাটির বালায়, মিলিশ বালা, এইয়া ভিড্রহ করেন করুন, সাপ্তা করেন, ভিড্রহ করেন, কথেকে, কাজ সাপ্তা বল দেটিষ্টগুণ্য সময় নেই, মুচ্ছেন ভায়, নিজজ্ঞস সময় নায়, এড্বাজ দেইই সম্মা কম্পিটা ছড়েই কম্পিটা কর্য।"
328,rec_02_audio_11,"কম্পিউটার কর্তোমানে নাইগা কম্পিউটার কিন্মায়ক, কিন্যা ছিনতলে আছে পরে, কলে কিন্মায়ক, তাদেরা ভিটো ইজিড মিড করেন গিন্দিয়া, এভাবে মোমলি করিক, মোমলি করেন, তাদেরা ভিটো ইজিড করেম আরে জান কেন করেন, করেন, করেন, করেন, করেন, করেন, করেন, কর�"
44,rec_02_audio_12,সহযোগীতা বলতে যারা কোয়াঁ দামবাড়া নিজেন নিজেন জেনি করে নিয়েন নিজেন নিয়েছিলেন ক্যাবা কিউর আসলো ইউটিবার ফিসবুকের ক্ষেউ ক্ষায় করা না তান্য বেশতিক্ষণ ক্ষায়ত্য ক্ষায়ত্য ক্ষায়ত্য ক্ষায়ত্য ক্ষায়ত্য ক্ষায্য ক্ষায্য্য ক�
932,rec_02_audio_13,"বাঁলাই ওয়াশ্টেমবাইলা কোতো অন্কিত্রণে উপর্তাভার, কোতো মুহাজের যাগাতো অন্কিত্রণে আস, কমি কোনি কোসেবিভাবে তাকা এটি কোন নিফিল্ড নিকাম, যতো জ্ঞানি আই!"
475,rec_02_audio_14,"আনে এলাকা কেই সব কুলামেন্ট মোবাইল চালা না? সালা এতো মুটামুটি দেহী কুলামেন্য সভারাত্মি মোলায়।কি বাটান সেটনা হিতেও, বাটান অনের ধোগে একটি বাটান চলে।বাদাছলে না? না।ম্বাদিকে মনেক কুলাম চলা ও কোকি সফটট আচচলা।"
357,rec_02_audio_15,চিক্টগ চালা
