,External_ID,contents
0,rec_19_audio_24,"সেইডি-এর আনো সোনিসেই আনের বালো জ্যোতিরে তার সে মবি ছোটোডার সেতে কথাটা করে, অগের হিহাসে, এর নেক হিহাসে, কলা আনের বালো ও ভূমতি নারাগে চলায়েন, আনের বাই বালো মানো না।"
1,rec_05_audio_0,দিন এলাকে মসা আসে নেই
2,rec_05_audio_18,"জোর বাতীল দিয়াল ওঠা। এদীগায়, এদীগায়। তবে কলে এক হোন না, কিনে একটা একটা ছবি যেক কিনে একটা শেখল পের দেখা হয়েছেন তিনি।"
3,rec_08_audio_32,মেল আদির কতাটতা কোয়ানা ইন্ডিয়ায় গেল না ইন্ডিয়াতে আশাল হোরট্টা করেন। এবং ফরজার দিন আসে কতাটতা করতে আনা আনোয়েই জনিষ্ঠিতায় কোস্তায্য দিয়ে করেকম বুধ করার দিনা ভারসন হবে নাইন।
4,rec_18_audio_10,"তিনি ব্লাস, চার দেবদ্যাল শ্রমান।"
5,rec_18_audio_37,"- এই মাত আসো আজ কে---এই, কি কালে--যামি-আজ হোলো কেটো বল মাল অসহোলো তৈরি হবে---তা খাক-কে---এই বর্ত বর কেলেছেই---মাবে---কেলে---মাবে---কেলে---মাবে--বেযে--বেযে--বেযে-বেযে-বেযে-বেে-বেে-বেবে-বেবে-বেবে-বেবে-বেবে-বেবেবেবেবেবেবেবেবেবেব�"
6,rec_18_audio_8,"আয়াচিলিতে, আদ্যাপ্তিতে দেশিবিল আদের ইন্তঃয় জায়তা দেশীন, আদেহক্ষুণ বাইরাত্রা একটি দেন।"
7,rec_11_audio_4,"তার ফরিদা বাড়া।পেন, মাইয়ে আসসিকের অন্য মনে করে কাজ করে মহোদন করে বৃহৃপে না, ওই ডাক ব্যোগ গিয়ে-গের গারা-বেহ।কে প্রতিযেছেন, মনে একটি ফেশান ভিজন দিয়ে-পেয়ে আছেন মনে লস এবলস এবল আবল লস থাবেদ তাবেদ আরাক শ্বন্ববেবেবেবেবেবেবেব"
8,rec_09_audio_40,একটি মার্চ প্রদান্ত নৃয়ামাল লাধ্যাত্মিক প্রতাশ্রেজনের হোনে ব্যায়ে কোন নির্নে এর সিষ্টেটা অন্তুম বোধন আবায়।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।�
9,rec_01_audio_39,"কছে, আমার দশ কোনগর্ধীণ লাগতিভাবে, ত্রিমনের শত শুনে দেখে দ্বিমন্ত্রায় নেই, তা আমি মূন্তর শুনে কচেয়ে বছরামেগে তালাই চলতা গিছি, আশার শ্রময়ই মূল কচ্যাম দিছি।"
10,rec_11_audio_13,"মন্যাকের আনোনি হচ্ছান তিন ছাইভিড়ে যে, তাই, কোয়ে আমাকারণে কৃষ্ট পড়ক্ষাদক, দুল আলেজসাথে কো আইদৃলীড়, শিশু, উদাহ, ভাইগ্নে কেছে একদাখা হয়েছে, বাবু-"
11,rec_12_audio_32,"পরে অনুযার পরে অনের দুই মনেট সোময়কে গেছে, অনেই আমি ফোন দৃশীল কোস্যেকী বাড়ি আমি তৈরি এই জাগা হেলদ্ডান্ডহেম শ্রেলীতে সামনের দিকি, পরেন নিচে নাম শ্রেন, রাগীব্রেকে কোস্যে দিয়েন হেলদ্ডান্ডান হোপসার করে দেখে পরেশার করেশেশ �"
12,rec_17_audio_8,যেলি দিয়েতা মারাওয়ে দিয়ে তেলে গিয়ে দিতে হবে যেকটি ওই বিশির্দা দেয়ে লাগে না বেস্তা অতেশ দিতে দিতে গরুল গোশ আলো।
13,rec_16_audio_9,ভ্যানকে ডাকি না দেছেন।
14,rec_17_audio_29,ও সেন্ট্রের জন্যে না কি? তিলি বালো আইদদের মিলি দাতা এবং পাইস্টন অষ্টনাকী তাকৃতিক পায়স্ন অষ্টায় নাতম।ার বালো কথা ইন্দিজিয়।
15,rec_22_audio_15,আলো হোসো!
16,rec_09_audio_15,"আর কেন্দু ভাই, হলমেন্দ্রী ছিলেন, মুক্তিয়াম্তে ওলো, আমার ফুসে আর কে? আমার দশ আমার কেউ সৌদ্বে নেওয়ার তাই-তে আরও উল্ল্ডে দায়বদ্ধতা বেশিয়েভে বাফের টানিয়া এসে আরাশ ও দালাখ হনা কমালললল কালিয়া শেলকালিয়া শেহিনী সবায়া সবায়া কেন�"
17,rec_18_audio_21,"বোল জিবোল, বোল জাক্রিবাজনের শুরুবর্দামে তাকামের যেসেন, বোল জানগেল জানগেল জানগেল জানগেল জানগেল এতে প্রয়াহ দিতবে।"
18,rec_13_audio_63,এর পর আপার মুনের এক গেছে ফেনাল পরিক্ষা।
19,rec_21_audio_19,"যে টাকা আগের করমাই জটি দিকে তিনি আগের লাখ্যা। হাই সৈয়ে নাফিহ্যা থায়ে, যেকেন নাফিহ্রাল দাঁয়ে, আবদুল্লাপ দিতে এই তুলকের কোমটি হিবেশে নিকেটে, বাইরা তুমি গানা কের ধানান্য জন্য ইন্য জন্য জাম জাম বায় জন্য মার মার মার মার মার মার মার �"
20,rec_20_audio_32,"তার কারকার সাথে যে নিয়েছে কদি, এই, কমালা বিচাকে হয়ে, কারকা সাধ্য নিয়ে, হে, তৈকিছু কথি না?"
21,rec_07_audio_27,"পরাধরায় চাকরিয়ার বিরাধ ওয়েসে, তাঁলে ব্যোস কায়াস, কোন হলে হাসি, যদি এরকা ছেলে চাকরিপায় তা বাপ বাছে, মা বাছে, ভাই বিরাধা তাঁদেরবাসে, বোন থেকলে দেশ নিদিয়ের দিয়ের তিভারে, জন্য কষ্টরে এটা বোন আছে নামের কম্য চল।"
22,rec_12_audio_8,"আঙ্গোসিতে দালাসতে কথাকা দেই।টে, আঙ্গোসে তুমি আগে পড়ো তার পরে দেখা যেন।"
23,rec_01_audio_1,"-তে---পতিমা আসো জমস্য আলে--তোমিত আসও বাড়িতাই না-আসি,ইর পন্তুতো আসি-এদীর পরে দাবা কোন দেগা-আই,দীর পরে পেন-এদীর পরে কি, কাজ-ভাজ-আই,দি, বরি-শাল-কে কি ওইজে-এ-শিল্লাইন--কি, কি, কি, ককি, কককি-ককি-ককি-ককি-ককি-ককি-কি-কি-কি-কি-কি-কি-কি-কি-কি-কি-কি-কি-কি-কি-�"
24,rec_18_audio_17,তিনি মাগাছোর মাজে বাজে বাজিপূর্ণ মাজা-অস্বেহরাত নেছেন।ার বৌদ্ধ দওয়া রামাধ্যার হল প্রবকূলের হোসজাতি আঠ চোয়ান।
25,rec_06_audio_23,"ও এই যা বিরেজির কুরা একবারে, বটগাছের নিতে, হয়েনে এক দাঁড়ি।বর্গা, তোমারে যদি অনেমনে করেও দেও বর্গার কিরম সিস্টেম এক বছরে যদি নিন না, কি প্রতমী যদি জটাত্বদেন করবা।"
26,rec_07_audio_50,এল দিয়ে!
27,rec_04_audio_37,"পরবে ফিটির থে, এইঠোকেই শুধু ও একগীরে তেমে দুইরি বাড়ি আতব্যে একগীরেরি দেওয়ে আর ফিটি বাড়ে।"
28,rec_04_audio_19,"ওগে আমি মাসসি পার্টনা সুইজ গের হতে, এবং আগে মরিয়ে এবং মূর্ত দয়েন ওগে এলাকাদ, ওগে বালিধরে, কোষা এবং এবং আশি এবং এবং বেশ করিদিন ডেই ট্রাগেট করে, তৈরাটি পার্শিদ্রের আশি আশি আমান দ্রাখে কেন পার্শিদ্রায্য।"
29,rec_02_audio_1,"মাটি পুরোপুরো তেমে টেঙ্গাড়ি রয়ে উল্ল্পায় দিয়ে পালন করে দকু হোকেও বাড়য়ে এবাহিক অফাইকাউপন্ট দিলে, রাজদ্যে লড়ে দিলে বিচার একতে, আগে ইযেয়েয়েয় আগে কোফা তেয়ে নায় বইলা।"
30,rec_17_audio_28,"আরেনা, বিদেনীতিতে গীলাগবে, এটাতো বিদেনীতিতে ওড়াব-মাস্ট, কিন্তু হেসিলাগবে গ্রেত্রি, পায়সে গ্রীলাগে ক্রিকাজ।"
31,rec_18_audio_27,"সাজ্য হাঁ যাং, ও একবার একদিজ জাহাদীর রাগ্য চলে, পরিয়ে দষ্টাপত্র চলে, পুরো বহুজ ও আছালে, কিতে আমারড্য আইচমঠ্টের চায়নি পরিচাঠিক চিত্রাভাবে চাজ যাং ওয়াগ্য পরিচাঠিয় পরিচাঠিয় কাঁ দিজশ্য দিজস্বিয় কাঁ।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।"
32,rec_04_audio_28,"জ্ঞাদব্য়ীর গাড়িত্র স্থাভিনে গেছিল, তামরা সাইট পালিচ্যান পাঁচ খান গাড়ি নিংয়েই ছিলেন, তা পরের দিনকে কয়েছিল, তা মাগে চোখ রফগাড়া লাল টক্টটা করেছে, এবলা ওভয়ে, এমনার টমু সাকিবজে রদ ধরিত্ববী, মানে সাইইইই।"
33,rec_12_audio_11,"বঙ্গবন্ধু আনাস সুখফাল গঞ্জ। পদীবারে। ও বালোকাথ? সেদিন যে তুই? কীফারাড় দিলি আমারে, রায়েত বাঁড়াতদিকে পন্দিয়ে? আমি প্রদান একোনো মানসি কথবেকেকে? এইছেিতে আমি পক্তি যেকে যেযে এজওয়ার অবস্থায় যেয়ে আরজে গন্ভ।"
34,rec_06_audio_29,"কাজ করতে করতেই, এক শেষ চালির বাদ মানুকুম হলো? মনে একটি বাদ, কালকে আমরা দেখায় ছিতাই হে? সেইজনে দেখায় পেতে রয়েছেন।"
35,rec_10_audio_35,বাদ্লা কুটি ফাজন উঠয়ে দেখে।
36,rec_10_audio_8,"আরোনাকে আকাজ্য লেশ আদি বস্তাই, তাদুন মোয়া মাসে আসতো, বরো মাসে, ম্রাজিম্য মাসি, আমার মা, ম্রাজিম্য মামামামামমা, আলাদায় জি বাটসিলে এখলবার দিয়ে, আর নোয়াডারের গার্ডারমা কোচসাকলের কারণ মাটাতা আয্যারা আয্যারাক্য না।য্যেকেন্য্যে�"
37,rec_10_audio_12,"পর্যায্য বর্তান বেদান গিলাম না, মিলি মনি যাঁর সাথে মিলি ফৈলের জায়া সরকাছে কি কেলে কলকায় এই যতোগের জনিষজ, তিনি একদাগের ত্বঠাউন্তা ষোল ভাগেছিল।"
38,rec_02_audio_22,চৌদ্দ উপার পর্যন্ত কোন আমরা আউট-ভিনেই এবং করতেইক উপার রান্স লাভ করে দুই উপারে চায়লনায় করে এবার আউট হয়েগেছেিল।মির বোর্ড হয়েগেছে।
39,rec_09_audio_16,"মাদকের লাইন ছাড়াতো কাইলায় তোমার কোন এই নাই, জামাগে বাবি, কোন লাইন ভাবী, মাদক বাবি, মাদক কোন সাহাতে, কালায়, তোমার কোন ইনাই, যামাগে বাবি, কোন লাইন করে বাবি, মাদক কোন কোন কোন কোন কোন কোন কোন কোন কোন কোন কোন কোন কোন কোন কোন কোন কোন কোন"
40,rec_12_audio_1,টুকুট্টা করিবন্ডিস্থলে তারপরে মনোগরো যাহন এদের পরে তো মনোগর্ধে এক মাসে ক্ষেও মাধ্যবাবার এই যেইচ্ছে লাইছে হন ধায়ে প্রয়েও প্রয়েও প্রয়েও কেশল লোয় আহপনি মনে মনে মনে মনে মনে মনে মনে মনে মনে মনে মনে মনে মনে মনে কমনে কেয�
41,rec_03_audio_66,"যানে কাছে কি, তুনি আমার দানাপর আশিয়ে না ওই, সমার এক ব্যবন্ধ ছেলো তানশেলেন, দানশেন নেল চেলে, তা ফুকুর, তাই, ফুকুরি জাতার মাল, হয়স্বার চারকাছের মাল, শহবাসতা করতে, আমরা স্কুলীপর পাঠত্য ততোমের, দানাপরা মালগুলো, দিনিসারলযে কিয়ে যেযে যে"
42,rec_11_small_audio_0,Bye.
43,rec_01_audio_21,"হাজিম সরকার আনন্দ এর আমার দত্তি হয়ে আমার ভাইবেন্দু আসতিবাল্ল না, কেমা দাস্য, তোগারবিয়ের সুমানে তৈরি কোট্তার, স্কার বিয়ে থেকটা আদেলেন, তোগার দেশে দায়িকটে কথার দায়িকটে সেডেন।"
