,External_ID,contents
0,rec_14_audio_55,জ্ঞোন্স বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ্য বাজ বাজ বাজ বাজ বাজ বাজ বাজ বাজ বাজ বাজ বাজ বাজ বাজ বাজ বাজ বাজ বাজ বাজ
1,rec_19_audio_24,"সারহাত উত্তর নামকী, তুই হন স্কুল, উত্তর নায়নীদে স্কুল, উত্তর হয়দের টিকাস একটি ব্যাক্য নতুন ফৌসুল ও বোটাভোটি ওনোর ফরাড্য, আইসিয়ারওই গড়েই আইসিয়িয়ারওই জাপার ফত্যায়দের ব্যাক্য নতুন্ড্বন্য।"
2,rec_14_audio_90,"আইহমান, হাই পরাড়টিকে খোঁড়াত প্রেশাদ পরিণে, এগীন দেহিনে, তোয়ারা যিনিশেরভাবে হিল্লোয়নে চলগরাগর্য হাই প্রশাসারা আইম্বানী ফলিজ এই কোলা প্রেশন্ট্রেশন, তন্যও, এই দুই-তিন-শাপ্তা এই এই এই এএই টাইই তাইই বুঝাইট ক্রারীদের টাইট টাই কেট �"
3,rec_05_audio_0,"জনাতকে নার শ্রীলী নওন, আইদের এই আত্নত্বক করে ফিলে না, মি শকালে সেবার, কাজী গেছি, আওয়ার রাশি ওস্ত্রাদের বাশ্বে ফাসিতে আমি আবার গৃষিত্বে একাবি কেপজি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি মি ম"
4,rec_14_audio_124,"আড়াড়ুয় কি পরিমাণ পরিশ্রম গড়ন পরে, ব্যাক এককান ফরান লায়, এককান শিটের লায়, এককান ছাড়ে যে আড়াড়িয়া তোয়ার প্রাইভার্সরি তিনিয়ময় থেকে, ছাড়়ে হৈদিব কপ্য কবিচ্য করত্য তোয়ার বারগান লিকে।"
5,rec_19_audio_109,"ইনোর ফল, তাঁই ব্যাক্ষণরে হুইম দে যাজোদে সামর্থ্য আছে, জেল্লে সামর্থ্য আছে, এই সামর্থধিতে ব্যাক্ষণরে সাহয্য সহয্যকিতা যেড়ে গড়েছে।"
6,rec_14_audio_121,"আইয়োন নফারীনা এ ফরিজা পেন, কিন্তু ঐতিকেন ও ফুয়ায় আইয়েনিতে কেন নফারে গিন?"
7,rec_09_audio_60,এই জাহাজ মাস্তুল ছাড়খায় তবুগল পরিক সৃজবাজ বাড় আওয়ামী রাখতে চাইনা আর তাঁর কোন রাত্মোপুর রাপ দায়িচের শ্ববাদপুর শ্ববাদপুর শ্ববাদপুর শ্ববাদপুর শ্ববাদপুর কমাপনিক ক্যামক ক্যামক শ্বামক শ্বামক শ্বামক শ্বামক শ্বামক শ্যামক শ্যায্যা�
8,rec_11_audio_4,বাহিসেদে সিন্টে আগে খানে রীমে বায় বায় বাইভালো সাইলসালিন্ড। বায়বালায় রাটা সাইলসালিন্ড দাবেও তেড়াম হাদারহহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাদারহ হাহ
9,rec_09_audio_40,তাঁকান শুরু করির-
10,rec_11_audio_13,"আরগো হারাদ্দী হয়ে এ, তলিবা ফিজিতব, জিবে আঁ, সা আছে লেরা সারগো।শাহে, তমরক্য হারাদ্দী, আর গোটি।"
11,rec_20_audio_58,"টি ফারীনের সাহায্যায্য আস সুল একজা জ্যোটগীগুই ওই ফারলার মাধ মাথা বাহিনীরী, তো জ্যোটগুং সুরাসিয়ের জ্যোগ দেশ গ্রুত্ব নেনেন, তার ফারে বাথায্য নিয়েন, কোষিণের নিয়েন, নেন।"
12,rec_17_audio_8,"য়ঃহ্ন, আইকিটি ও আরিশ, সারমাজ্য একজনা লেনাহে, দাটি থাকে, কীঘরিক থানি ব্যবস্থা, যেটা দেই গুরোল ভলত ভয়াব হতে, মারভলত ভয়াব ভয়াব হতে, বড়বহৎ যেও, যেত্বযেও, দাত্ব ভয়ায় তথ্য সুরিজানি, অত্যার হাই দ্ববহ্যবণী।"
13,rec_16_audio_9,"তবে এর দুজনের ডিলাক্সি আগের ফেলে একটি হতি ব্রহণ্ডিক, যেকে তবেন তারও তারা আল ব্যাপারলা তোয়ার জেলিত আহত ওজি বা জাড়ীয় যেতারার সহম্মানের ফ্রমত দিয়েলি।"
14,rec_17_audio_29,"যেওয়ারে নৌহই এনে সুন্দর গরিয়ানে ওয়াশহ দেশে, হনে ইনেডি ইংরেজ তোলে কে, হনে দেশ ইংরেজ গড়ের নেওয়ার শিক্ষায়েই জলাই জল থান হয়েছে।"
15,rec_14_audio_133,"কার্সটি ক্যাম্পায়ে দেয়ান্ট নতুন গড়ে নেয়, তিনি করে পারে না, এই আর সেটি ক্যাম্পাসিয়েনার আসল না কল্প লেখা, বা আসল জানের আসল, যান যাতে পরিপূর্ণভাবে বই যায় শগলে, তার আরা কল্প লকাবাশিক্য ট্রানসভার কোস্ট কোস্ট কোস্ট দেসেন দেসে�"
16,rec_17_audio_54,"এমন ওল গ্রহৃদের যে অন্যাপতে ছাদ্মীর ও বেরগুরে, যে বরাভূতিতে প্রকৃতটিলের রিচোট দিয়েনা-সিয়েনো আসি, ব্রেকলাথিয়েত আড়াইডা বাদের।"
17,rec_09_audio_15,"বিগুনী মিলা আড়ে ম্যাসোচিত আইন অবুজিলাম কিছু, রিয়েল মাদেশ জিততে, বার্সোলায় অত্য নজিত্বে, যা আরা কেকা ম্যাসোচিত, কিছু এককান হইলে করায় সিজোনাল ফেল, কিছু কিছু কককায় হইলে করিস্য করিস্য করিস্য করিকরিয্য করিয্য করিয্য করিযেযেযেযে"
18,rec_21_audio_19,"রবিবারে এই আতবেল, অন্য করক্ষ হয়েই দিয়ে আমত, আতব্বপ্য আয়ক কেনা হতীয়, যাতেমা, পতেঙ্গার এখানে?"
19,rec_19_audio_81,"পরিকাত বেকম ভাল ওই সাইআরা অ্যাপলাস ফাইজেম, পালাভিতে হতো দৃশ্য হন আইহুদ্য আলার পোয়া রাশিয়ের, মানে তিয়াডের ট্যাংশ নোগরিত্ব, হত্যাদে কাচা ছাই তৈলিক কিরণ চায়হণ, তাত্যন বইলার, আইহুদ্য তত্যন আর পানাত্যনার বিষ্য বইশ্বববববববববববববববব"
