,External_ID,contents
0,rec_04_audio_44,"আমার বাইরা থাকতে, আমার বাইডে তবার শেফটায়, পৃথিত স্না, হেয়াবার অনেক সুন্ধু সুন্ধু রান্দা রান্দাত্ম, হেয়ে চাকাপড়ত তবা সম্রাবাহে দনাইত্য রান্দা বাড়া একটো কম, হেয়ে দাখয় রান্দও রমজান মাসফ ইফতারটা হেয়ে কবিস্য স্যাযবহ্য।"
1,rec_14_audio_55,"এর কিনামে সৌরতাহিত্যেও টেস্টেমেদের খেল চীনিয়া-স্থাড়াফ-স্নামবাপ খেলা যেছেন,টেস্টেমেদের খেল চীন কোয়াটের টেস্ট-এর কাজ বলিংহায়।"
2,rec_22_audio_69,"সুরুজনীক করছেন, ঢাকতি দাঁপুরদরা, ঢাকতি দিনীকপের এক দিন গণ্যের করে মিশেন।াঁরা শোন আরেকটা খানি শোন, ঐদিন টেইসে, আমির্জে হানা খায়না, সাপার থাহিনা, খানা মজায়, মাইকদার ঠাকে গছে, মনা হোজে, যখনাটকগরা, তিনি ছিল, এদিনি আছানা।"
3,rec_19_audio_24,"আমি উদালি যুটি কলকাতার এয়ার্ডারমেজার নারিন্ড ওপিনিং খেলায়া, রাসেল লেসআইন নম্বর খেলায়া, রিংকু সিঙ্গে রাসেলের দাগাত খেলায় খেলায়কেলে অন্যরকমেট আইয়েওয়া হয়েছানায় ক্ষিক্ষালা ক্ষিক্ষালযেও ক্ষালযেও ক্ষালযেও ক্ষালয্য্যে"
4,rec_05_audio_0,"বাসু, তারলাকে আবার পুনরায় আটডাডে তেমাসি, বাবনা আনো বায়বায় বেটকে স্নাগো আরম করা আদেই। আজা, এই দেকর্তা কিন্তু আমরা কো অনেক কথা কো বিল্যা ইযেছিকা।"
5,rec_05_audio_18,"তোক ক্লাসের কেউ তরপীজে গুড়ে না, গুরে তোকটে, যেড়ে গুরে এডে বিট কেয়, আস তুই তেরপীজে গুরোস হয়েয়েছে, রাজা কি না, বিজয়ে, কোন তোকটে, রাজা বিজয়ে, না, কে, বিট কে, বিট কে, বিযোগে, বিযোগে, বিযোগে, বিযোগে, বিকোগে, বকগোগোগোগোগোগোগো��"
6,rec_07_audio_54,"ইনশেললাহ, দোয়া করে আল্লাহী তার মনের ইচ্ছে, পূরণ করো!"
7,rec_09_audio_60,"আমার ইজ্জা সম্পর্ক যুধে কে, তার আমার ইজ্জা হিন্দু মাসারুলো অনেক বলাঘ্যের, আমার কেন্দু অনেক টিয়াস আলামীয়ড়ে ওই দশ যা টিয়া দেওয়ার মানুর সুনের দিকাঠ জন টিয়া ওই টিয়া টিয়া টিয়া টিয়া টিয়া টিয়া পাপতাপতাপতাপতাপতাপতাপতাপতাপতাপতাপ�"
8,rec_18_audio_10,"আরে ছাড়েবারে কুত্বাপন পালায়কা চাকা, যেটা ছাড়েবারইর অতি জিরেলাকা একটা ক্রটী রুটি লয়েজে বিফটকে আর দরে নিধিত্বনা, আর কি সুয়ী করতো নিয়েকা ও রুটি ভাই নেম করে আক্ত বিত্রকে ছাড়ালকে দেখাওয়া পড়ে আয় পড়ানে অনেন অনেন অনেন ননিন নন "
9,rec_18_audio_8,"মনোয়েদ্দার্স করা মনোয়েদ্দার্স করা মনোয়েদ্দার্স করা মনোয়েদ্যায় করা মনোয়েদের সভায়েটি দিস্টেন, এখ আঙ্গরক করে আঙ্গরকার শাখা দিস্তাহায় করা সারেহ্য হুদো আঙ্গরিয়াগ করস করস করস করস করস করস করস করস করস করস করস করস করস করস করস "
10,rec_11_audio_4,"আমরের বারিডা কোয়ার কে?আমরের বারিডা দলন্য সন্দি হয়।টোটোটো করে শুটারবন।।।শুটারবন হেভিনা কেবল অনেকে লোটকল ফোজা, লোটকল ডামডে ফিকো।"
11,rec_09_audio_40,ব্রাহ্মণ্দি যে একটা এড়ি আমনে করে যে একটা ফ্ল্যাট ফাইলেও ওইড়ামাটি একটা কলেজ। কলেজের একটা হার ব্রাহ্মণ্দির মধ্যে। হেরা কোগহালা অধিক্ষাণীক কলেজগুলার নামজে একটা বাদী আঁডীয়ার তিনাম কোনাম।াইড়িয়াল কলাশচটিকা মডেল পাবলিক।
12,rec_01_audio_39,ত্রাদ চৈড়ায় সংসায় মাংকিশে মিলি শর্থ।
13,rec_11_audio_13,"শের বোয়ার শের টুনি খাই লুইলে, নাতি একজ লিয়া শান্তি মত নেও নেও বিশ্নারমূহীদের ঘুড়ড়ি করা করতেছিল। সরকারি হুড়ড়ি ফরম্যান্টে। আরা আ নানিয়ায় নানা সেবাজত্ন করতে করতে এককল বছসুলখানা তৈরা তিন বাঙ�গা দিসেছে হবহ।"
14,rec_04_audio_53,"নাস, পঞ্চমণ্ডের ফার্জান আমেডেময়ে ক্লাসাসিং ষষ্ঠ হনটাই, সেভালেই মেডেমের ক্লাসাসিং।এর পরে একখান দেফালান আমেডেমে বাড়িত, আম্দেমী সাদা বিল্ডিং নামেডেম ক্লাসিং।"
15,rec_12_audio_32,শালামিহ্যিক।দুমার পরীক্ষার অভিজ্ঞতলতে লেকট্রকা এরকা? পরীক্ষার মধ্য আমির গণিত পরীক্ষার দিন আমার প্রচুর হার্ড হয়েছে।বাড়িতা আমি বিষয়ক হয়েছে। শুধু একটা সিজন ছিলার মনোকক হ্রদি এসসিযে আরেকটার অননম্প।
16,rec_22_audio_30,আঙরোগরণী শ্রীতে সব করা আঙরোগরণীর সাদাযে কোঝে এরধর অনেকটি আজ উদ্বাপাড়া।াল বিদ্যাচি তেজব করেন নিয়েই কোলে নতুড়ি আঙ্পরী আঙর্জ কোঝে জটস্প করাশ লাগে না।
17,rec_17_audio_8,"তৈরি করা হিসে, যেড়া আপনার যে কোন প্রশ্বনের উত্তর গুগুলের চেয়ে ভালোভাবে করতে পারে, যেদি থেকে বলা হয়ে, গুম কেড়ে নিচে ইলোন মাস্কের চার্চিপিডি। টেকবলকার রা এখন গুগুলের চেযে ভালপয্রযুক্তি বলছে।"
18,rec_16_audio_9,"আসলোপাতা বছর, বিদিশ একটা কিপ্পিন ভেলেও বিদিশিত কিপ্পিনের মাজার কেটার আছে, মেথু-আইডোইয়া, তৈরি কেলে, গুজরাডের মাজারে, আরামেত কোন মেথ ইয়া, নায়কে হতো, কিপ্পিনের মাজার আছে কেডে, হেডে, জিরঙ্গে, ডিক্বি, ক্বারই, ক্বারই, ক্বারই, ক্বারই"
19,rec_23_audio_22,"সবাই কনডিউট করে দালা এমনতে? রাতের ম্যাচ কার্কারে, রাতের তোচ্ছে মুম্বাইয়ার চেন্নাই, আহতে ম্যাচের করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করারণ করার�"
20,rec_22_audio_15,হ্যার চয়জাগে! আমার চয়জ বিশেষন্ধ্য তারা চয়জিৎ কেন! তাফরা যামা চয়জিৎ পারি চয়জিৎ কেন চয়জিৎ কেন যামা চয়জিৎ কেন না। আপুজেই সমাদিস্য আব্যাপগ্রসেইট। তার উদ্বী ভবিষ্যাত্তা গালফম্যাচুস করা ছড়ে যামাবয়েক বিজ্বিপেপেভীযবী।
21,rec_09_audio_15,"মনীরখান মনীরখান কেজন মনীরখান জন্য গান আগে সুন্তাম, যে সম্য সুডু আছি লামত হন থেকে সুন্তাম। হন সুন্তাম। আমেও কেন্দু মনীরখান জন্য গান সুন্দাম। হন আবার নিলয়ের গান হোনি। নিলয়ের একটা নিলয়ের মারাগেসুজায় কমারয়ায় কমারয়াবক্যবাবক্যব�"
22,rec_18_audio_21,কদের নিতাক বে।
