,External_ID,contents
2010,rec_01_audio_0.wav,<>
2011,rec_01_audio_1.wav,<>
2006,rec_01_audio_10.wav,<>
2000,rec_01_audio_11.wav,<>
2013,rec_01_audio_12.wav,<>
2002,rec_01_audio_13.wav,<>
2012,rec_01_audio_2.wav,<>
2004,rec_01_audio_3.wav,<>
2003,rec_01_audio_4.wav,<>
2008,rec_01_audio_5.wav,<>
2005,rec_01_audio_6.wav,<>
2009,rec_01_audio_7.wav,<>
2007,rec_01_audio_8.wav,<>
2001,rec_01_audio_9.wav,<>
945,rec_01_big_audio_0_chunk_0.wav,<>
969,rec_01_big_audio_0_chunk_1.wav,<>
2028,rec_02_audio_0.wav,<>
2016,rec_02_audio_1.wav,<>
2018,rec_02_audio_10.wav,<>
2040,rec_02_audio_11.wav,<>
2041,rec_02_audio_12.wav,<>
2043,rec_02_audio_13.wav,<>
2053,rec_02_audio_14.wav,<>
2025,rec_02_audio_15.wav,<>
2034,rec_02_audio_16.wav,<>
2024,rec_02_audio_17.wav,<>
2045,rec_02_audio_18.wav,<>
2042,rec_02_audio_19.wav,<>
2030,rec_02_audio_2.wav,<>
2035,rec_02_audio_20.wav,<>
2017,rec_02_audio_21.wav,<>
2050,rec_02_audio_22.wav,<>
2020,rec_02_audio_23.wav,<>
2019,rec_02_audio_24.wav,<>
2023,rec_02_audio_25.wav,<>
2048,rec_02_audio_26.wav,<>
2032,rec_02_audio_27.wav,<>
2022,rec_02_audio_28.wav,<>
2015,rec_02_audio_29.wav,<>
2031,rec_02_audio_3.wav,<>
2027,rec_02_audio_30.wav,<>
2051,rec_02_audio_31.wav,<>
2036,rec_02_audio_32.wav,<>
2047,rec_02_audio_33.wav,<>
2037,rec_02_audio_34.wav,<>
2044,rec_02_audio_35.wav,<>
2046,rec_02_audio_36.wav,<>
2038,rec_02_audio_37.wav,<>
2049,rec_02_audio_38.wav,<>
2026,rec_02_audio_39.wav,<>
2033,rec_02_audio_4.wav,<>
2052,rec_02_audio_5.wav,<>
2029,rec_02_audio_6.wav,<>
2021,rec_02_audio_7.wav,<>
2014,rec_02_audio_8.wav,<>
2039,rec_02_audio_9.wav,<>
2058,rec_03_audio_0.wav,<>
2062,rec_03_audio_1.wav,<>
2086,rec_03_audio_10.wav,ছালেমাসিমাসিদন নাসিম্ফাস রিণি নারা ধাগ লেও লাটায ়টা কুরি হাকে সিং ম্যাসিজদ্ধানায়িতে আয় ওয়ান বতনীকিকোসু বর্তমান দানবহার বুঠ্টা নানে বাইতা িমানে  কাহুল চাপনিকোরসেন তা কার ফলটার ফুলত ষেত্ব এবর লাগানেই বেবারির ধ্বারোহী নিউ ়রির ভরে।
1003,rec_03_audio_11.wav,<>
2076,rec_03_audio_12.wav,জন অস্থায় িউ সাহ্নহমানে বাইত খুব সমাসাগলটে টেয়া ও সাইন ক্যামনা হএমায়া সভা একইউস্তিমইচি সভবন্ধএর বিদেশে তে়াদে নাকম্যানে সহভবাস ্থাকাতা ওয়ামসাহিসী মানের কিগিউজ্চতি করে রেমনিতু লাভ বাণিতা রমমণে আনিত্যে যেওয়াং কলিমাে হালতা বিষাজাআন়নটি।
1001,rec_03_audio_13.wav,<>
2083,rec_03_audio_14.wav,ওচথাবি ্য় হাইব টিগুন জবাতের নামপুতা এব ারবিররে হাজারী হাজার হাজারী আওয়ল আসেই আ শান তিনায় সোাঞ্ দি স পানোন আসুনেক গুলার রধর্রম করেও চায়া তমানকি হাইবিড কতামার দিহাশ কতান না।
1002,rec_03_audio_15.wav,<>
2065,rec_03_audio_16.wav,<>
2073,rec_03_audio_17.wav,লেওু এ একদিকে কিন না উল লাগীলেবুঅহজমর রান তিব্লেবুরপাগান করতার ভার লেবুভ আগামির জাগালাগ বাদাদাবার আক্গিনার াসপাশ লাগুলেঙগবাইবলন্ডের রইনান অনিকরি হুনিরিআমদারা এলেকাদায়িত্বমনে চুরভার পারা এলেকা।
2063,rec_03_audio_18.wav,<>
2054,rec_03_audio_19.wav,<>
2078,rec_03_audio_2.wav,পুঠ্ঠাত ওয়েসি নেথম্মর চ্রেষ অঘাচককরীর দৃষিতা উপ্ট আগী হাইবিটল্ানডেশলাগা ়িছেন লাগা সলামিলে দেশি দেশে পিয়ালাঙগারদেশেবুলে বালা নোবাধ্য মানুষদা হাইবিট লাগার সবেব হারভিডিয়স হল্ত ছেী য আওয়ারা আসপ্র্স দবারা পরা বরাগীেতযোগীরগির তারা গিরস্থি করে।
2055,rec_03_audio_20.wav,<>
2085,rec_03_audio_21.wav,আঁছে আানত অত্ম কিসেতা িনা গ্ারানের মাৃসেব চীন নেম তেবিয়াা় মাধদে ওতানের সবগিয় স্থৃকৌরুইণ অভে হাস্ত্রী কোরিই ঠোকঠাগ করেে আভারে আও করী যাযেপায়া ভাবূন্য থাকপুরইএপজিন েহাযে ই গেভে এবাইগুললোই সুম বাইগোণ হাথ বাইগনাআছেতে সিটা।
2064,rec_03_audio_22.wav,<>
2061,rec_03_audio_23.wav,<>
2084,rec_03_audio_24.wav,ক স্বাথে সত্র শতাার্যাতে সং আলিয়া আওয়ই জ কিনা করেজে খ্যাট কি ইদিকে দাম বেশিনা কোমআমকয়েব ব়েদাবহনির্ণীতা বিডের কা ছিল পচিশ্লাগ তি ইশ াগ বিশাগতিয় খানে এতো দাদাম সভাহিতে পন্ত্রবারি তা সহপ্রতুক্ষে ্ষেথেত একে জমিররাস বজীন ন লেলাগীয়তো াঙৈ বাংলাশে বাইরে এয়া।
